Община,Училище,БЕЛ-УЧ 24,БЕЛ 24,МАТ-УЧ 24,МАТ 24,БЕЛ-УЧ 23,БЕЛ 23,МАТ-УЧ 23,МАТ,БЕЛ-УЧ 22,БЕЛ 22,МАТ-УЧ 22,МАТ 22,БЕЛ-УЧ 21,БЕЛ_2,МАТ-УЧ 21,МАТ_2
ПЛОВДИВ,Частно основно училище Класик,14.0,83.89,14.0,79.79,6.0,72.83,6.0,78.67,10.0,"77,75",10.0,"68,1",10.0,"74,6",10.0,"64,1"
ПЛОВДИВ,Частно основно училище Бъдеще,5.0,82.1,5.0,87.6,4.0,82.5,4.0,92.13,4.0,"76,13",4.0,80,5.0,"81,6",5.0,"75,6"
ЗАВЕТ,СУ Свети Свети Кирил и Методий,26.0,56.77,26.0,54.35,14.0,62.0,14.0,65.86,20.0,"58,13",19.0,"64,11",31.0,"73,03",31.0,"69,26"
ЗАВЕТ,Основно училище Христо Ботев,15.0,65.47,15.0,61.67,11.0,64.64,11.0,50.77,13.0,"56,5",13.0,"34,85",22.0,"85,59",22.0,70
ЗАВЕТ,ОУ Христо Ботев,3.0,74.17,3.0,83.0,6.0,70.5,6.0,70.58,5.0,"57,9",5.0,37,10.0,"57,4",10.0,"55,7"
ЗАВЕТ,Основно училище Христо Ботев,7.0,71.93,7.0,73.0,8.0,60.5,8.0,85.44,8.0,"57,56",8.0,"53,63",7.0,"56,57",7.0,"66,86"
ЗАВЕТ,Основно училише Васил Левски,4.0,54.63,4.0,54.25,,,,,5.0,"63,4",5.0,"44,6",3.0,48,3.0,41
ИСПЕРИХ,Основно училище Васил Априлов,79.0,64.9,79.0,60.15,72.0,45.32,72.0,46.31,59.0,"65,01",59.0,"53,05",76.0,"73,07",76.0,"63,99"
ИСПЕРИХ,ОСНОВНО УЧИЛИЩЕ ХРИСТО БОТЕВ ГРАД ИСПЕРИХ,28.0,56.07,28.0,57.54,44.0,57.18,44.0,50.11,24.0,"62,81",24.0,"43,17",34.0,"62,12",34.0,"49,71"
ИСПЕРИХ,Основно училище Никола Йонков Вапцаров,5.0,54.9,5.0,55.8,9.0,59.67,9.0,65.89,8.0,"55,81",8.0,48,11.0,"69,64",11.0,"59,45"
ИСПЕРИХ,Основно училище Христо Ботев,7.0,42.71,7.0,55.79,10.0,52.9,10.0,64.7,12.0,"55,33",12.0,"43,08",3.0,"46,33",3.0,53
ИСПЕРИХ,Основно училище Христо Ботев,11.0,48.77,11.0,52.73,13.0,60.31,14.0,56.93,12.0,"53,54",11.0,"48,18",13.0,"58,85",13.0,"50,92"
ИСПЕРИХ,Основно училище Отец Паисий,19.0,53.16,18.0,58.83,18.0,46.56,18.0,43.72,17.0,"53,18",17.0,"55,29",13.0,"50,92",13.0,54
ИСПЕРИХ,Основно училище Васил Левски,8.0,56.56,8.0,71.0,3.0,60.0,3.0,53.83,4.0,"45,25",4.0,"38,25",5.0,"58,4",5.0,"62,8"
КУБРАТ,СУ Христо Ботев,50.0,72.38,50.0,62.55,59.0,76.37,58.0,63.1,37.0,"65,88",37.0,"42,14",53.0,"77,55",53.0,"57,68"
КУБРАТ,Основно училище Христо Смирненски,11.0,33.91,11.0,39.45,10.0,25.7,10.0,34.75,11.0,"42,41",11.0,"29,73",14.0,57,14.0,"39,71"
КУБРАТ,Основно училище Васил Левски,12.0,30.83,12.0,35.5,5.0,39.4,5.0,28.7,6.0,"39,42",6.0,"18,5",13.0,"60,23",13.0,"37,69"
КУБРАТ,Основно училище Никола Йонков Вапцаров,6.0,61.08,6.0,66.17,7.0,29.29,7.0,35.79,12.0,"60,5",12.0,"42,5",8.0,66,8.0,"59,88"
КУБРАТ,Основно училище Свети Климент,3.0,49.17,3.0,48.83,8.0,46.75,8.0,41.06,5.0,"52,6",5.0,"43,6",7.0,"44,71",7.0,"30,14"
КУБРАТ,Основно училище Никола Йонков Вапцаров,,,,,1.0,70.0,1.0,46.0,,,,,3.0,"42,33",3.0,44
КУБРАТ,Основно училище Свети Свети Кирил и Методий,9.0,26.06,9.0,27.17,10.0,20.4,10.0,23.9,2.0,"42,25",2.0,35,3.0,"51,33",3.0,"46,33"
ЛОЗНИЦА,Основно училище Виделина,5.0,59.2,5.0,59.6,7.0,34.0,7.0,35.43,5.0,"54,5",5.0,"41,8",11.0,"72,18",11.0,"63,55"
ЛОЗНИЦА,Основно училище Иван Вазов,,,,,,,,,2.0,"19,5",2.0,19,,,,
ЛОЗНИЦА,Основно училище Христо Ботев,11.0,51.18,11.0,43.05,13.0,36.0,13.0,44.23,11.0,"47,14",11.0,"38,27",9.0,62,9.0,50
ЛОЗНИЦА,Основно училище Кирил и Методий,,,,,,,,,3.0,"53,67",3.0,"46,67",4.0,"39,25",4.0,"30,75"
ЛОЗНИЦА,Начално училище Васил Левски,34.0,78.96,35.0,73.6,33.0,73.7,33.0,62.42,33.0,"72,91",32.0,"59,53",31.0,"75,13",31.0,"59,32"
РАЗГРАД,Основно училище Никола Йонков Вапцаров,59.0,71.21,58.0,60.79,67.0,77.13,67.0,65.09,53.0,"66,99",53.0,"43,53",71.0,"75,38",71.0,"60,1"
РАЗГРАД,СУ Христо Ботев,20.0,77.85,20.0,71.03,26.0,66.0,26.0,56.15,27.0,"73,91",26.0,"54,54",20.0,"68,65",20.0,"54,05"
РАЗГРАД,Основно училище Васил Левски,84.0,86.46,84.0,87.95,109.0,83.76,109.0,81.88,79.0,"86,39",79.0,"82,99",90.0,"84,69",89.0,"80,2"
РАЗГРАД,Основно училище Никола Икономов,77.0,79.39,76.0,81.55,89.0,74.55,89.0,65.11,94.0,"75,82",94.0,"60,45",97.0,"82,38",97.0,"67,97"
РАЗГРАД,Основно училище Иван Сергеевич Тургенев,44.0,76.67,44.0,66.92,44.0,69.57,44.0,63.26,32.0,"69,13",32.0,"51,47",41.0,"79,51",41.0,"63,95"
РАЗГРАД,Основно училище Отец Паисий,22.0,63.66,22.0,59.66,12.0,51.83,12.0,65.96,14.0,"61,82",14.0,"43,21",27.0,"71,78",27.0,"57,63"
РАЗГРАД,Основно училище Д-р Петър Берон,5.0,66.5,5.0,62.8,7.0,49.0,7.0,42.14,7.0,"53,93",8.0,"29,38",8.0,"48,38",8.0,"45,63"
РАЗГРАД,Основно училище Георги Сава Раковски,16.0,44.81,16.0,60.38,15.0,39.87,17.0,62.35,12.0,"61,79",13.0,"42,77",12.0,"54,75",12.0,"49,75"
РАЗГРАД,Основно училище Отец Паисий,8.0,62.19,8.0,60.56,14.0,45.21,14.0,49.96,9.0,"55,89",9.0,"44,22",16.0,"59,13",16.0,"45,13"
РАЗГРАД,Основно училище Свети Свети Кирил и Методий,22.0,30.61,22.0,45.64,17.0,24.47,17.0,38.06,22.0,"34,11",22.0,"34,36",18.0,"56,5",18.0,"58,33"
РАЗГРАД,Основно училище Кирил и Методий,,,,,,,,,7.0,49,7.0,"37,71",4.0,"51,75",4.0,"50,5"
РАЗГРАД,Основно училище Елин Пелин,8.0,47.44,8.0,42.13,6.0,25.33,6.0,57.17,7.0,36,7.0,28,7.0,"54,14",7.0,"37,14"
САМУИЛ,СУ Свети Свети Кирил и Методий,12.0,66.67,12.0,68.54,23.0,31.96,23.0,34.2,21.0,"76,21",21.0,"56,57",17.0,"72,06",19.0,"67,63"
САМУИЛ,Основно училище Свети Паисий Хилендарски,8.0,52.69,8.0,44.63,2.0,68.0,2.0,55.5,9.0,"35,78",9.0,"28,89",3.0,"69,33",3.0,53
САМУИЛ,Основно училище Христо Ботев,9.0,57.06,9.0,61.89,18.0,50.56,18.0,57.89,11.0,"65,82",11.0,"60,55",8.0,"67,63",8.0,"51,5"
ЦАР КАЛОЯН,СУ Христо Ботев,17.0,68.06,17.0,60.18,14.0,72.93,14.0,56.75,19.0,"70,84",19.0,"65,21",18.0,"80,44",18.0,"63,28"
ЦАР КАЛОЯН,Основно училище Свети Паисий Хилендарски,7.0,44.21,7.0,62.79,4.0,64.25,4.0,67.13,9.0,"67,83",9.0,50,7.0,61,7.0,55
БОРОВО,Основно училище Свети Климент Охридски,10.0,57.25,10.0,59.05,7.0,59.86,7.0,43.29,6.0,"53,33",6.0,"38,33",13.0,"55,62",13.0,"53,69"
БОРОВО,Основно училище Петко Рачев Славейков,11.0,55.14,11.0,64.18,9.0,68.0,9.0,68.5,4.0,"65,5",4.0,59,11.0,"57,36",11.0,"64,82"
БЯЛА,Начално училище Свети Свети Кирил и Методий,20.0,84.23,20.0,84.65,19.0,68.42,19.0,72.82,17.0,"58,06",17.0,"61,88",13.0,"51,62",14.0,"29,5"
БЯЛА,Начално училище Петко Рачев Славейков,20.0,67.9,20.0,71.78,29.0,74.86,29.0,70.41,42.0,"72,21",42.0,"62,33",42.0,"79,83",42.0,"66,88"
БЯЛА,Основно училище Неофит Рилски,14.0,28.75,14.0,33.21,15.0,30.4,14.0,28.0,13.0,"22,73",12.0,"15,83",14.0,"46,36",14.0,"37,79"
БЯЛА,Основно училище Свети свети Кирил и Методий,6.0,45.5,6.0,65.58,10.0,35.3,10.0,34.8,7.0,"63,71",7.0,"30,86",8.0,"68,75",8.0,44
ВЕТОВО,СУ Васил Левски с професионални паралелки,29.0,41.05,28.0,52.0,36.0,39.06,35.0,32.91,27.0,"47,78",26.0,"26,88",32.0,"49,16",33.0,"35,06"
ВЕТОВО,Основно училище Свети свети Кирил и Методий,7.0,57.43,7.0,46.21,6.0,44.33,6.0,44.33,9.0,"23,72",9.0,16,8.0,"44,63",8.0,"43,13"
ВЕТОВО,СУ Христо Ботев,20.0,44.48,20.0,41.5,20.0,50.65,20.0,53.45,29.0,"65,28",29.0,"48,1",21.0,"73,29",21.0,"64,38"
ВЕТОВО,Основно училище Петко Рачов Славейков,6.0,64.0,6.0,65.0,13.0,31.92,13.0,50.54,9.0,"63,56",9.0,"52,22",15.0,"66,53",15.0,"62,8"
ДВЕ МОГИЛИ,Основно училище Христо Ботев,4.0,47.5,3.0,57.67,2.0,47.0,3.0,43.0,5.0,"42,3",5.0,"39,6",6.0,"51,17",6.0,"49,83"
ДВЕ МОГИЛИ,СУ Св св Кирил и Методий,28.0,62.23,28.0,66.36,33.0,63.12,32.0,62.25,31.0,"63,5",34.0,"47,71",41.0,"61,9",39.0,"50,54"
ИВАНОВО,Основно училище Никола Йонков Вапцаров,4.0,35.38,4.0,31.63,2.0,29.0,2.0,18.0,3.0,"49,5",3.0,"22,33",1.0,29,1.0,32
ИВАНОВО,Основно училище Васил Левски,3.0,64.0,3.0,66.67,3.0,60.67,3.0,58.5,1.0,"48,5",1.0,31,3.0,"47,67",3.0,"43,67"
ИВАНОВО,Основно училище Христо Ботев,12.0,69.96,12.0,63.29,14.0,68.71,14.0,61.71,8.0,"58,63",8.0,"46,5",15.0,"73,4",15.0,"61,4"
ИВАНОВО,ОСНОВНО УЧИЛИЩЕ СВЕТИ КЛИМЕНТ ОХРИДСКИ,1.0,35.0,1.0,27.0,2.0,31.5,2.0,17.5,1.0,"45,5",1.0,40,0.0,0,0.0,0
РУСЕ,Основно училище Отец Паисий,98.0,85.57,97.0,80.82,101.0,85.3,101.0,77.02,94.0,"79,5",94.0,"70,22",100.0,"87,58",100.0,"72,81"
РУСЕ,Основно училище Любен Каравелов,70.0,85.91,70.0,84.21,69.0,87.61,68.0,81.01,50.0,"85,96",50.0,"78,16",72.0,"89,69",72.0,"84,94"
РУСЕ,Основно училище Ангел Кънчев,40.0,73.84,40.0,70.39,40.0,62.95,39.0,53.51,39.0,"69,45",39.0,"55,85",41.0,"74,95",40.0,"62,05"
РУСЕ,Основно училище Братя Миладинови,26.0,50.48,26.0,47.21,17.0,33.47,17.0,35.85,20.0,"62,08",20.0,"39,45",37.0,"64,51",37.0,"45,05"
РУСЕ,Основно училище Иван Вазов,68.0,85.04,67.0,83.19,66.0,80.88,65.0,71.56,89.0,"80,9",89.0,"65,93",99.0,"86,87",98.0,"75,94"
РУСЕ,Основно училище Алеко Константинов,16.0,34.16,16.0,53.13,12.0,54.92,12.0,73.92,20.0,"49,68",20.0,"48,9",15.0,"58,87",15.0,"65,8"
РУСЕ,Основно училище Тома Кърджиев,43.0,74.67,43.0,73.43,43.0,72.56,43.0,60.86,54.0,"73,48",54.0,"60,07",63.0,"74,76",63.0,"59,11"
РУСЕ,Основно училище Никола Обретенов,39.0,75.17,39.0,71.26,51.0,64.88,51.0,56.84,43.0,"69,92",43.0,"54,21",59.0,"71,51",59.0,"53,07"
РУСЕ,Основно училище Васил Априлов,40.0,67.18,40.0,57.08,39.0,64.15,39.0,55.01,39.0,"73,59",39.0,"53,51",22.0,"75,64",22.0,"54,05"
РУСЕ,Основно училище Христо Смирненски,14.0,52.57,13.0,49.96,7.0,53.43,6.0,71.5,4.0,"70,13",4.0,"45,5",8.0,"53,38",8.0,"36,13"
РУСЕ,Основно училище Свети свети Кирил и Методий,14.0,62.5,14.0,61.36,10.0,58.1,10.0,55.6,9.0,"65,39",9.0,"75,56",18.0,"75,06",18.0,"57,89"
РУСЕ,Основно училище Отец Паисий,20.0,70.7,20.0,75.03,25.0,76.12,25.0,70.7,23.0,"77,43",23.0,"63,04",23.0,82,23.0,"66,87"
РУСЕ,Основно училище Георги Стойков Раковски,6.0,64.08,6.0,60.75,9.0,57.78,9.0,50.0,9.0,"67,22",9.0,"36,67",5.0,"63,4",5.0,"48,6"
РУСЕ,ОСНОВНО УЧИЛИЩЕ СВ СВ КИРИЛ И МЕТОДИЙ,8.0,59.31,8.0,74.88,6.0,65.0,6.0,56.58,6.0,"48,58",6.0,"34,83",5.0,52,5.0,"49,6"
РУСЕ,Основно училище Отец Паисий,5.0,62.9,5.0,72.3,6.0,63.67,6.0,62.42,6.0,"66,58",6.0,"70,17",4.0,"87,5",4.0,"81,75"
РУСЕ,Начално училище Васил Априлов,8.0,55.31,8.0,56.5,4.0,41.0,4.0,25.25,4.0,"52,25",4.0,"62,25",5.0,"59,2",5.0,"42,6"
РУСЕ,СУ за европейски езици Свети Константин-Кирил Философ,96.0,84.98,96.0,79.05,119.0,84.86,120.0,73.43,108.0,"83,48",108.0,"70,21",114.0,"89,16",113.0,"71,13"
РУСЕ,СУ с преподаване на немски език Фридрих Шилер,73.0,85.39,73.0,77.91,86.0,81.27,86.0,73.71,79.0,"81,89",78.0,"66,85",94.0,"87,09",94.0,"72,97"
РУСЕ,Основно училище Олимпи Панов,37.0,72.74,38.0,66.21,31.0,57.19,31.0,68.81,39.0,"74,42",39.0,"58,46",37.0,"76,3",37.0,"60,92"
РУСЕ,СУ Йордан Йовков,42.0,78.35,42.0,74.06,39.0,71.21,39.0,60.64,28.0,"69,79",28.0,"48,11",43.0,"73,09",44.0,"60,64"
РУСЕ,СУ Христо Ботев,74.0,82.82,74.0,77.78,83.0,83.76,83.0,75.5,90.0,"80,11",90.0,"70,92",90.0,"88,92",90.0,"75,88"
РУСЕ,СУ Възраждане,41.0,82.96,41.0,76.29,73.0,75.88,73.0,66.43,59.0,"71,16",57.0,"55,98",99.0,"82,12",99.0,"69,19"
РУСЕ,СУ Васил Левски,145.0,78.98,145.0,72.43,132.0,72.43,132.0,59.88,141.0,"72,5",140.0,"55,01",184.0,"82,74",184.0,"66,89"
РУСЕ,Първо частно СУ Леонардо да Винчи ООД,8.0,89.06,8.0,97.25,6.0,76.83,5.0,81.0,1.0,82,1.0,80,14.0,"91,64",14.0,"85,5"
РУСЕ,Частно Начално Училище Вяра Надежда Любов ООД,8.0,89.13,8.0,92.81,12.0,81.33,12.0,81.13,7.0,"79,21",7.0,"75,29",6.0,"89,33",6.0,"80,83"
СЛИВО ПОЛЕ,Основно училище Иван Вазов,24.0,44.1,23.0,49.35,19.0,32.0,19.0,36.47,17.0,"49,32",17.0,"29,53",20.0,"43,7",19.0,"35,37"
СЛИВО ПОЛЕ,Основно училище Свети свети Кирил и Методий,5.0,58.3,5.0,45.9,4.0,60.25,4.0,66.25,3.0,"59,5",3.0,"52,33",1.0,60,1.0,60
СЛИВО ПОЛЕ,СУ Св Паисий Хилендарски,32.0,50.64,31.0,44.89,23.0,43.48,23.0,44.11,34.0,"58,94",34.0,"44,71",35.0,"73,2",35.0,"60,4"
ЦЕНОВО,Основно училище Христо Ботев,9.0,48.5,9.0,60.67,11.0,56.73,11.0,57.64,4.0,"50,25",4.0,"63,25",6.0,"54,83",6.0,"60,67"
ЦЕНОВО,Основно училище Христо Ботев,3.0,74.17,3.0,78.0,3.0,58.67,3.0,72.67,3.0,"70,33",3.0,"45,33",2.0,69,2.0,53
ЦЕНОВО,Основно училище Алеко Константинов,1.0,76.0,1.0,98.0,4.0,45.75,4.0,48.5,3.0,83,3.0,"73,33",3.0,"87,33",3.0,"91,67"
ЦЕНОВО,Основно училище Свети Климент Охридски,6.0,45.0,6.0,56.25,6.0,65.17,6.0,70.33,8.0,"55,69",8.0,"59,25",5.0,"59,4",5.0,"74,6"
АЛФАТАР,Основно училище Христо Ботев,11.0,63.41,11.0,72.82,5.0,50.6,8.0,63.25,9.0,"67,44",9.0,"41,44",6.0,"71,83",6.0,"57,5"
ГЛАВИНИЦА,СУ Васил Левски,31.0,61.06,31.0,53.42,36.0,61.92,37.0,56.31,28.0,"55,98",28.0,"47,93",29.0,"62,17",28.0,"53,21"
ГЛАВИНИЦА,ОУ Иван Вазов,17.0,34.18,16.0,43.06,11.0,27.55,11.0,46.09,17.0,"43,15",17.0,"40,18",17.0,"41,47",18.0,"31,56"
ГЛАВИНИЦА,Основно училище Свети Свети Кирил и Методий,,,,,,,,,5.0,"41,9",5.0,24,4.0,"36,5",3.0,32
ГЛАВИНИЦА,Основно училище Отец Паисий,,,,,,,,,4.0,"46,63",4.0,"24,75",3.0,"42,33",3.0,42
ДУЛОВО,СУ Васил Левски,52.0,60.89,52.0,55.59,51.0,56.73,50.0,55.53,39.0,"51,88",40.0,"38,13",46.0,"71,26",46.0,"54,09"
ДУЛОВО,СУ Йордан Йовков,13.0,50.19,13.0,57.35,16.0,52.19,16.0,58.81,15.0,"56,73",15.0,"53,2",22.0,"63,09",22.0,"57,09"
ДУЛОВО,СУ Христо Ботев,10.0,47.8,10.0,39.9,16.0,51.75,16.0,46.72,20.0,"57,85",20.0,"42,9",14.0,"64,79",14.0,"55,5"
ДУЛОВО,Основно училище Св св Кирил и Методий,11.0,57.86,11.0,69.32,15.0,66.87,15.0,59.77,10.0,"71,35",10.0,"72,2",17.0,"50,12",17.0,"56,41"
ДУЛОВО,Основно училище Св Св Кирил и Методий,8.0,59.94,8.0,70.25,11.0,38.91,11.0,47.36,13.0,"49,85",13.0,"44,23",16.0,49,16.0,"50,06"
ДУЛОВО,Основно училище Свети свети Кирил и Методий,15.0,58.47,15.0,58.73,11.0,42.73,12.0,60.13,16.0,"53,97",16.0,"54,56",12.0,"49,08",12.0,"64,17"
ДУЛОВО,Основно училище Д-р Петър Берон,8.0,38.81,8.0,55.94,9.0,58.0,8.0,61.13,9.0,"41,17",9.0,"38,44",17.0,"40,41",16.0,"41,25"
ДУЛОВО,Основно училище Васил Левски,6.0,68.58,6.0,62.58,7.0,67.71,7.0,63.0,18.0,"41,81",18.0,"35,06",11.0,"63,55",11.0,"54,18"
ДУЛОВО,Основно училище Христо Смирненски,50.0,65.55,47.0,68.84,45.0,52.44,44.0,54.28,39.0,"64,55",40.0,"51,28",65.0,"73,52",65.0,"62,95"
ДУЛОВО,Начално училище Светлина,9.0,46.78,9.0,64.67,7.0,49.14,7.0,64.07,8.0,"32,94",8.0,"43,63",9.0,"43,78",9.0,45
КАЙНАРДЖА,Основно училище Васил Априлов,20.0,35.65,18.0,57.86,22.0,26.95,22.0,42.82,28.0,"19,27",28.0,"14,14",27.0,"36,19",26.0,"35,42"
КАЙНАРДЖА,Основно училище Черноризец Храбър,20.0,39.85,20.0,49.55,7.0,27.86,8.0,31.81,6.0,"30,67",7.0,28,16.0,"41,5",16.0,"41,44"
КАЙНАРДЖА,Основно училище Цанко Церковски,15.0,43.97,15.0,42.17,14.0,41.79,14.0,35.57,12.0,"52,46",12.0,"42,17",23.0,"34,87",23.0,"30,83"
СИЛИСТРА,СУ Никола Йонков Вапцаров,67.0,80.78,67.0,75.14,65.0,80.17,65.0,71.29,66.0,"74,08",65.0,"60,65",58.0,"81,91",58.0,"65,24"
СИЛИСТРА,Основно училище Отец Паисий,42.0,81.19,42.0,78.62,49.0,81.59,49.0,72.93,43.0,"78,5",43.0,"62,67",62.0,"82,27",62.0,"71,92"
СИЛИСТРА,Основно училище Св Св Кирил и Методий,74.0,74.19,73.0,68.58,64.0,69.89,64.0,55.88,46.0,"79,71",45.0,"66,04",72.0,"80,74",71.0,"67,3"
СИЛИСТРА,Основно училище Иван Вазов,70.0,85.97,70.0,82.8,65.0,80.57,65.0,71.94,97.0,"80,6",98.0,"67,79",86.0,"86,31",85.0,"72,41"
СИЛИСТРА,Основно училище Св св Кирил и Методий,,,,,2.0,63.0,2.0,55.5,4.0,"59,75",4.0,"45,75",3.0,60,3.0,"52,67"
СИЛИСТРА,ОУ Свети Климент Охридски,19.0,44.21,20.0,57.53,9.0,35.0,9.0,44.5,14.0,"40,64",14.0,"38,93",17.0,"47,47",17.0,"45,12"
СИЛИСТРА,Основно училище Св Св Кирил и Методий,6.0,53.75,6.0,48.33,3.0,53.0,3.0,50.5,6.0,"51,75",6.0,"29,17",6.0,"52,33",6.0,"28,33"
СИТОВО,Основно училище Отец Паисий,13.0,44.04,13.0,63.35,13.0,22.69,12.0,35.13,16.0,"46,59",16.0,"31,31",11.0,"42,64",11.0,"39,73"
СИТОВО,Основно училище Стефан Караджа,12.0,51.25,12.0,69.92,12.0,54.67,12.0,56.17,13.0,"57,81",16.0,61,9.0,"50,11",9.0,57
СИТОВО,Основно училище Георги Сава Раковски,4.0,51.88,4.0,48.5,7.0,35.43,7.0,39.64,5.0,"51,4",5.0,"45,8",4.0,"86,5",4.0,"67,25"
ТУТРАКАН,СУ Йордан Йовков,35.0,73.49,35.0,65.93,19.0,72.84,20.0,60.9,27.0,"77,8",27.0,"58,81",30.0,"77,7",29.0,"60,69"
ТУТРАКАН,СУ Христо Ботев,39.0,82.41,39.0,70.56,36.0,76.67,36.0,59.1,38.0,"81,16",38.0,"67,66",42.0,"82,83",41.0,"62,78"
ТУТРАКАН,Социално-педагогически интернат Христо Ботев,1.0,55.5,1.0,74.0,1.0,20.0,1.0,24.0,,,,,4.0,"25,75",4.0,"26,5"
ТУТРАКАН,Основно училище Стефан Караджа,7.0,52.29,7.0,66.86,2.0,89.0,2.0,79.0,3.0,"67,5",3.0,42,7.0,"87,43",7.0,"83,57"
ТУТРАКАН,Основно училище Свети Свети Кирил и Методий,9.0,37.83,9.0,63.28,7.0,52.29,7.0,63.79,7.0,61,7.0,"43,57",6.0,"52,67",6.0,"44,33"
СЛИВЕН,Начално училище Васил Левски,66.0,88.5,67.0,85.1,58.0,85.62,58.0,78.17,65.0,"82,02",64.0,"65,66",70.0,"87,96",70.0,"75,01"
СЛИВЕН,СУ Хаджи Мина Пашов,18.0,31.33,18.0,30.28,15.0,52.0,15.0,43.37,24.0,"46,98",23.0,"31,96",23.0,"51,26",23.0,"41,26"
СЛИВЕН,Основно училище Христо Ботев,62.0,76.27,60.0,72.75,86.0,72.92,86.0,63.39,86.0,"78,61",86.0,"61,35",84.0,"79,01",85.0,"66,09"
СЛИВЕН,Основно училище Д-р Иван Селимински,80.0,83.71,80.0,76.48,66.0,84.36,66.0,75.35,74.0,"83,58",74.0,"71,26",73.0,"87,21",73.0,"75,18"
СЛИВЕН,Основно училище Димитър Петров,60.0,82.16,61.0,76.65,53.0,77.66,53.0,60.19,63.0,"78,81",63.0,56,58.0,"87,26",58.0,"71,24"
СЛИВЕН,СУ Пейо Крачолов Яворов,37.0,74.28,36.0,70.22,57.0,74.56,57.0,64.58,66.0,"72,57",67.0,"49,99",75.0,"78,44",75.0,"63,28"
СЛИВЕН,Основно училище Братя Миладинови,107.0,14.42,110.0,27.44,116.0,18.34,115.0,21.1,117.0,"15,02",113.0,"17,32",128.0,"20,82",127.0,"22,21"
СЛИВЕН,Основно училище Панайот Хитов,13.0,60.85,13.0,61.73,17.0,68.76,17.0,54.59,18.0,"65,33",19.0,"39,47",20.0,62,20.0,"49,95"
СЛИВЕН,Основно училище Юрий Гагарин,91.0,19.21,92.0,31.07,93.0,22.52,95.0,32.05,104.0,"21,81",104.0,"29,22",85.0,"14,73",84.0,"24,19"
СЛИВЕН,Основно училище Свети свети Кирил и Методий,31.0,71.97,31.0,65.21,18.0,75.28,18.0,57.94,12.0,"69,17",12.0,"46,42",24.0,"82,88",24.0,"70,46"
СЛИВЕН,СУ Йордан Йовков,25.0,70.76,25.0,52.42,33.0,65.15,33.0,55.29,28.0,"76,21",28.0,"64,5",16.0,"78,25",16.0,"58,5"
СЛИВЕН,СУ Константин Константинов,106.0,79.68,106.0,73.61,96.0,82.44,99.0,70.94,105.0,"76,47",102.0,"59,91",95.0,"84,04",95.0,"69,62"
СЛИВЕН,Основно училище Елисавета Багряна,88.0,83.02,87.0,77.47,85.0,78.68,85.0,73.74,85.0,"79,81",85.0,"65,01",105.0,"82,63",105.0,"67,46"
СЛИВЕН,СУ Аргира Жечкова,,,,,,,,,,,,,0.0,0,0.0,0
СЛИВЕН,Основно училище Хаджи Димитър,2.0,45.0,2.0,46.5,2.0,37.5,2.0,46.5,7.0,"63,29",7.0,"59,29",4.0,54,4.0,"38,5"
СЛИВЕН,Основно училище Свети Климент Охридски,25.0,47.22,25.0,64.56,26.0,38.0,27.0,50.33,35.0,"41,99",34.0,"42,65",33.0,"60,09",32.0,"51,28"
СЛИВЕН,Основно училище Найден Геров,24.0,53.0,24.0,53.58,19.0,35.53,19.0,45.42,13.0,"36,19",13.0,"31,69",18.0,"50,67",17.0,"40,94"
СЛИВЕН,Основно училище Д-р Петър Берон,8.0,24.5,10.0,31.5,15.0,35.07,17.0,40.06,19.0,"40,71",18.0,"33,39",16.0,"24,75",16.0,"46,31"
СЛИВЕН,Основно училище Братя Миладинови,18.0,45.08,17.0,45.03,13.0,22.69,12.0,20.42,10.0,"38,9",9.0,"39,78",3.0,"54,33",3.0,42
СЛИВЕН,Основно училище Христо Смирненски,13.0,53.69,13.0,58.42,10.0,64.5,10.0,59.3,13.0,"47,27",13.0,"48,38",12.0,"57,67",12.0,"49,08"
СЛИВЕН,Основно училище Свети Свети Кирил и Методий,14.0,36.07,14.0,50.57,8.0,50.25,8.0,48.63,16.0,"33,06",16.0,"35,06",13.0,"31,92",14.0,"39,21"
СЛИВЕН,ОУ Черноризец Храбър,29.0,45.47,29.0,70.6,14.0,69.79,14.0,64.79,14.0,"53,5",14.0,"34,93",14.0,"47,57",14.0,"38,57"
СЛИВЕН,Основно училище Свети Паисий Хилендарски,23.0,25.24,23.0,30.8,31.0,25.68,30.0,21.83,32.0,"24,03",32.0,"12,75",29.0,"30,59",26.0,"24,62"
СЛИВЕН,Основно училище Христо Ботев,31.0,48.48,31.0,71.23,28.0,50.18,28.0,49.0,34.0,"38,62",34.0,"23,32",33.0,"44,97",35.0,"31,8"
СЛИВЕН,Основно училище Васил Левски,6.0,48.25,6.0,61.33,3.0,57.67,3.0,40.67,3.0,"55,5",3.0,"37,33",6.0,49,6.0,"37,17"
СЛИВЕН,Основно училище Хаджи Димитър,20.0,28.1,22.0,36.27,15.0,29.67,14.0,33.5,13.0,"29,15",13.0,"12,15",21.0,"48,57",20.0,"53,9"
СЛИВЕН,Основно училище Свети Паисий Хилендарски,42.0,30.88,45.0,32.52,53.0,33.51,56.0,26.62,49.0,"32,58",45.0,"23,84",59.0,"30,93",56.0,"31,88"
СЛИВЕН,Начално училище Христо Ботев,13.0,61.27,13.0,58.81,11.0,66.0,11.0,58.64,8.0,"56,38",8.0,"34,25",14.0,"55,29",14.0,"47,29"
