Община,Училище,БЕЛ 24,ДЗИ II 24,БЕЛ-УЧ. 24,ДЗИ II-УЧ. 24,БЕЛ 23,ДЗИ II 23,БЕЛ-УЧ. 23,ДЗИ II-УЧ. 23,БЕЛ 22,ДЗИ II 22,БЕЛ-УЧ. 22,ДЗИ II-УЧ. 22,БЕЛ 21,ДЗИ II 21,БЕЛ-УЧ. 21,ДЗИ II-УЧ. 21,БЕЛ 20,ДЗИ II 20,БЕЛ-УЧ. 20,ДЗИ II-УЧ. 20
САНДАНСКИ,Вечерна профилирана гимназия,,,,,2.32,2.741,11.0,7.0,2.43,,7.0,,2.93,3.16,18.0,15.0,3.03,3.17,15.0,15.0
САНДАНСКИ,Земеделска професионална гимназия,4.37,4.984,140.0,140.0,3.88,4.526,141.0,131.0,4.13,5.013,132.0,131.0,4.2,4.0,130.0,38.0,3.98,4.11,122.0,101.0
САНДАНСКИ,ПГ Яне Сандански,4.25,4.183,90.0,93.0,3.84,3.654,106.0,113.0,3.95,4.107,80.0,77.0,4.31,4.38,115.0,119.0,4.47,4.49,105.0,112.0
САНДАНСКИ,Спортно училище,3.66,4.81,20.0,20.0,2.85,4.57,18.0,14.0,2.35,4.2,10.0,10.0,3.64,,14.0,,3.54,2.8,14.0,2.0
САНДАНСКИ,Професионална техническа гимназия,,,,,2.22,2.95,14.0,11.0,2.8,2.98,12.0,11.0,3.28,3.32,19.0,15.0,3.06,3.15,10.0,8.0
СВИЛЕНГРАД,ПГ по селско стопанство,4.16,5.176,46.0,45.0,3.51,5.09,49.0,44.0,3.37,5.39,37.0,34.0,3.83,,44.0,,3.74,3.56,59.0,6.0
СВИЛЕНГРАД,СУ Д-р Петър Перон,4.37,4.136,50.0,53.0,4.44,4.588,52.0,50.0,4.1,4.421,56.0,56.0,4.39,4.86,58.0,58.0,4.54,4.78,55.0,55.0
СВИЩОВ,Свищовска ПГ Алеко Константинов,3.38,4.515,39.0,32.0,3.03,4.386,50.0,45.0,2.82,4.508,26.0,25.0,3.53,3.45,38.0,6.0,3.19,2.68,52.0,7.0
СВИЩОВ,СУ Димитър Благоев,4.3,4.42,78.0,78.0,3.89,4.408,59.0,63.0,3.78,3.529,65.0,65.0,4.19,4.84,43.0,43.0,4.28,4.86,29.0,29.0
СВИЩОВ,СУ Николай Катранов,4.91,4.552,49.0,51.0,4.44,4.364,51.0,50.0,4.45,4.669,52.0,52.0,4.71,5.23,23.0,23.0,4.8,5.21,37.0,37.0
