Община,Училище,"БЕЛ-УЧ 24""",БЕЛ 24,МАТ-УЧ 24,МАТ 24,БЕЛ-УЧ 23,БЕЛ 23,МАТ-УЧ 23,МАТ 23,БЕЛ-УЧ 22,БЕЛ 22,МАТ-УЧ 22,МАТ 22,БЕЛ-УЧ 21,БЕЛ 21,МАТ-УЧ 21,МАТ 21,БЕЛ-УЧ 20,БЕЛ 20,МАТ-УЧ 20,МАТ 20,БЕЛ-УЧ 19,БЕЛ 19,МАТ-УЧ 19,МАТ 19
ПЕТРИЧ,ОУ Екзарх Йосиф,,,,,,,,,,,,,,,,,8.0,"33,63",8.0,"29,03",10.0,"56,5",10.0,"44,53"
ПЕТРИЧ,Основно училище Св Св Кирил и Методий,11.0,31.27,9.0,43.72,7.0,7.14,6.0,12.17,13.0,"36,04",13.0,"19,33",10.0,"38,15",10.0,"29,53",12.0,"29,21",12.0,"26,04",12.0,"53,71",12.0,"37,17"
ПЕТРИЧ,Основно училище Св Св Кирил и Методий,20.0,47.33,20.0,24.71,10.0,53.85,10.0,34.83,17.0,"57,65",17.0,"31,63",11.0,"43,91",11.0,"26,93",14.0,"46,68",14.0,"24,14",18.0,"53,83",18.0,"20,41"
ПЕТРИЧ,ОУ Св Св Кирил и Методий,,,,,,,,,,,,,,,,,4.0,"54,00",4.0,"32,50",9.0,"44,67",9.0,"19,08"
ПЕТРИЧ,Основно училище Христо Ботев,,,,,,,,,9.0,"45,61",9.0,"23,69",,,,,15.0,"53,23",15.0,"22,95",8.0,"69,13",8.0,"43,38"
ПЕТРИЧ,Основно училище Св Св Кирил и Методий,21.0,40.64,21.0,35.93,20.0,32.78,20.0,25.49,16.0,"34,5",16.0,"16,58",23.0,"34,33",23.0,"23,55",25.0,"31,40",25.0,"25,38",24.0,"52,73",24.0,"39,67"
ПЕТРИЧ,Осноно училище Братя Миладинови,12.0,50.79,12.0,38.44,14.0,48.54,14.0,22.29,10.0,"46,95",10.0,14,11.0,"48,95",11.0,"29,5",11.0,"51,00",11.0,"22,61",13.0,"50,96",13.0,"29,54"
САНДАНСКИ,Първо основно училище Свети Климент Охридски,62.0,57.75,62.0,45.9,63.0,61.42,62.0,35.04,53.0,"59,78",53.0,"38,67",59.0,"61,16",59.0,"41,94",55.0,"52,42",57.0,"37,65",62.0,"63,3",62.0,53
САНДАНСКИ,Трето основно училище Христо Ботев,121.0,61.63,121.0,41.87,102.0,63.38,102.0,36.24,128.0,"59,07",128.0,"32,9",118.0,"53,94",118.0,"35,44",106.0,"58,19",106.0,"37,09",75.0,"61,61",75.0,"36,39"
САНДАНСКИ,Четвърто основно училище Св Св Козма и Дамян,34.0,45.54,34.0,26.71,43.0,52.42,43.0,20.44,38.0,"49,07",38.0,"23,2",35.0,"49,04",35.0,"22,27",44.0,"49,47",44.0,"23,18",26.0,"40,52",26.0,"19,48"
САНДАНСКИ,Основно училище Братя Миладинови,17.0,33.29,17.0,32.19,24.0,20.6,24.0,14.88,14.0,"24,89",13.0,"12,98",11.0,"14,55",11.0,"15,25",15.0,"31,93",16.0,"16,92",10.0,"29,7",10.0,"13,2"
САНДАНСКИ,Основно училище Св СвКирил и Методий,13.0,29.23,12.0,22.48,17.0,38.12,17.0,16.31,13.0,"44,65",13.0,"17,75",12.0,"39,71",13.0,"31,4",10.0,"24,05",9.0,"22,64",13.0,31,13.0,"17,73"
САНДАНСКИ,Основно училище Христо Ботев,6.0,46.83,6.0,23.79,3.0,40.0,3.0,9.33,4.0,"56,63",4.0,"43,13",8.0,"42,75",8.0,"30,09",10.0,"38,75",10.0,"21,35",10.0,"42,85",10.0,"27,1"
БЕЛИЦА,СУ Св Св Кирил и Методий,42.0,59.19,39.0,61.65,50.0,52.12,50.0,50.57,38.0,"47,93",38.0,"50,33",39.0,"47,95",38.0,"44,67",51.0,"41,83",49.0,"46,20",45.0,"55,24",45.0,"46,69"
БЕЛИЦА,Основно училище Св Паисий Хилендарски,31.0,54.19,31.0,62.97,47.0,37.22,47.0,39.63,37.0,"46,61",37.0,"46,92",32.0,"47,5",32.0,"45,92",36.0,"38,42",36.0,"46,82",32.0,"50,44",32.0,"44,63"
БЕЛИЦА,Основно училище Пейо Крачолов Яворов,19.0,56.13,19.0,51.46,17.0,50.03,17.0,39.79,21.0,"51,55",21.0,"39,62",25.0,"46,46",25.0,"41,3",15.0,"46,40",15.0,"44,38",17.0,"55,59",17.0,"40,97"
