Община,Училище,БЕЛ-УЧ 24,БЕЛ 24,МАТ-УЧ 24,МАТ 24,БЕЛ-УЧ 23,БЕЛ 23,МАТ-УЧ 23,МАТ 23,БЕЛ-УЧ 22,БЕЛ 22,МАТ-УЧ 22,МАТ 22,БЕЛ-УЧ 21,БЕЛ 21,МАТ-УЧ 21,МАТ 21
БАЛЧИК,СУ Христо Ботев,58.0,45.11,55.0,27.02,63.0,47.27,63.0,35.4,59.0,"36,12",59.0,"27,14",43.0,"41,37",43.0,"24,3"
БАЛЧИК,СУ Христо Смирненски,14.0,32.43,14.0,20.11,13.0,31.46,13.0,20.37,15.0,"25,33",15.0,"17,6",14.0,"20,93",14.0,"16,93"
ГЕНЕРАЛ ТОШЕВО,Средно училищe Никола Йонков Вапцаров,13.0,56.85,12.0,15.08,14.0,38.11,14.0,21.0,12.0,"62,58",11.0,"49,41",14.0,"47,86",14.0,"17,07"
ГЕНЕРАЛ ТОШЕВО,ПГ по земеделие Тодор Рачински,54.0,31.8,54.0,18.41,59.0,30.58,59.0,23.77,53.0,"25,58",53.0,"18,89",58.0,"28,17",56.0,"18,93"
КАВАРНА,СУ Стефан Караджа,35.0,48.7,34.0,22.88,49.0,53.42,49.0,32.5,49.0,"51,41",50.0,"39,29",43.0,42,43.0,"25,14"
КАВАРНА,Професионална земеделска гимназия Климент Аркадиевич Тимирязев,34.0,35.25,34.0,18.01,27.0,20.5,26.0,14.15,37.0,"23,92",34.0,"18,74",29.0,"19,03",29.0,"17,31"
КРУШАРИ,СУ Христо Смирненски,17.0,22.68,17.0,14.35,16.0,21.16,16.0,15.25,16.0,"17,88",16.0,"18,59",11.0,13,11.0,"10,91"
ТЕРВЕЛ,СУ Йордан Йовков,22.0,46.64,22.0,37.36,27.0,50.56,27.0,47.1,25.0,"51,84",25.0,"50,27",24.0,"50,46",24.0,"26,42"
ТЕРВЕЛ,ОУ Д-р Петър Берон,6.0,34.83,6.0,15.33,3.0,20.67,3.0,17.33,7.0,"18,43",7.0,"17,14",9.0,25,9.0,"15,11"
ТЕРВЕЛ,ОУ Васил Друмев,,,,,6.0,11.33,7.0,12.0,5.0,"10,4",4.0,20,,,,
ТЕРВЕЛ,ПГ по техника и облекло Дочо Михайлов,41.0,19.8,41.0,18.52,36.0,29.28,36.0,19.42,37.0,"12,76",38.0,"16,14",39.0,"22,87",39.0,"17,79"
ШАБЛА,СУ Асен Златаров,19.0,41.5,19.0,17.42,20.0,53.83,20.0,20.5,10.0,"35,9",10.0,"21,03",7.0,"22,71",7.0,"12,57"
ДОБРИЧ,Сдружение Частна профилирана гимназия по туризъм и предприемачество Райко Цончев,32.0,62.58,32.0,33.66,22.0,60.52,22.0,33.99,27.0,"53,7",27.0,"36,19",17.0,"57,94",17.0,"26,12"
ДОБРИЧ,Частно СУ с профилирана подготовка по чужди езици и математика Леонардо да Винчи,14.0,54.57,14.0,29.29,7.0,54.07,7.0,43.25,6.0,55,6.0,28,5.0,"47,4",5.0,"43,6"
ДОБРИЧ,ПГ по транспорт обслужване и лека промишленост,54.0,22.31,53.0,15.3,62.0,21.23,62.0,18.4,46.0,"17,52",46.0,"17,94",54.0,"15,5",54.0,"14,39"
КЪРДЖАЛИ,СУ Владимир Димитров - Майстора,22.0,32.43,22.0,16.23,20.0,35.3,20.0,41.13,17.0,"43,06",17.0,"32,91",22.0,"30,91",22.0,"19,09"
КЪРДЖАЛИ,СУ Йордан Йовков,51.0,33.37,51.0,18.39,49.0,33.95,49.0,23.41,51.0,"24,78",51.0,"27,57",51.0,"33,22",51.0,"16,88"
КЪРДЖАЛИ,СУ Отец Паисий с природоматематическа насоченост,103.0,51.13,102.0,38.95,104.0,52.93,104.0,61.69,104.0,"46,19",104.0,"59,36",79.0,"50,44",79.0,"29,38"
КЪРДЖАЛИ,СУ Петко Рачов Славейков,77.0,61.65,76.0,37.97,78.0,54.13,78.0,57.18,102.0,"50,54",102.0,"42,73",99.0,"55,55",99.0,"58,64"
КЪРДЖАЛИ,Езикова гимназия Христо Ботев,158.0,58.59,156.0,51.03,153.0,60.78,154.0,47.73,150.0,"57,71",150.0,"72,87",182.0,"56,56",182.0,"40,06"
КЪРДЖАЛИ,ПГ по икономика Алеко Константинов,78.0,33.05,78.0,24.25,76.0,27.75,76.0,29.59,106.0,"26,88",106.0,"50,5",82.0,"28,02",82.0,"24,98"
КЪРДЖАЛИ,ПГ по туризъм Проф д-р Асен Златаров,49.0,26.76,48.0,27.65,38.0,27.29,38.0,43.11,45.0,"19,42",45.0,"28,98",41.0,"15,12",42.0,"11,93"
КЪРДЖАЛИ,ПГ Васил Левски,18.0,10.08,17.0,15.79,18.0,14.31,17.0,14.82,14.0,"7,79",14.0,"17,43",20.0,"8,85",18.0,"13,11"
КЪРДЖАЛИ,ПГ по облекло и дизайн Евридика,19.0,15.37,20.0,18.68,16.0,20.13,17.0,13.93,17.0,"24,65",17.0,"36,59",11.0,"18,18",18.0,"17,11"
КЪРДЖАЛИ,ПГ по електротехника и електроника Капитан Петко войвода,92.0,27.23,91.0,22.08,73.0,24.63,71.0,21.06,44.0,"20,02",44.0,"22,33",48.0,"24,75",48.0,"34,02"
КЪРДЖАЛИ,ПГ по селско и горско стопанство,15.0,31.63,14.0,42.93,13.0,31.54,13.0,35.73,12.0,"19,83",12.0,39,19.0,"12,63",18.0,"16,28"
КЪРДЖАЛИ,ПГ по строителство Христо Смирненски,18.0,17.5,18.0,23.97,23.0,27.46,23.0,29.4,20.0,"18,55",20.0,"24,54",20.0,"27,6",22.0,"37,09"
КЪРДЖАЛИ,ОУ Свети свети Кирил и Методий,,,,,7.0,21.0,7.0,44.57,,,,,14.0,"25,79",14.0,"42,43"
АРДИНО,СУ Васил Левски,36.0,44.54,36.0,46.13,40.0,49.36,39.0,32.76,37.0,"44,32",37.0,"49,87",40.0,"37,43",40.0,"20,28"
ДЖЕБЕЛ,СУ Христо Ботев,20.0,40.3,20.0,50.2,21.0,49.64,21.0,66.23,26.0,"37,96",26.0,"52,48",25.0,"39,52",25.0,"42,08"
ДЖЕБЕЛ,ПГ Руска Пеева,12.0,31.46,12.0,51.67,10.0,39.2,10.0,35.5,10.0,"23,3",10.0,"34,8",22.0,"16,82",23.0,"17,22"
ДЖЕБЕЛ,СУ Паисий Хилендарски,6.0,57.0,6.0,40.17,2.0,61.0,2.0,15.75,8.0,"41,25",8.0,"36,75",5.0,"60,6",5.0,30
КИРКОВО,СУ Отец Паисий,33.0,57.26,32.0,59.92,34.0,35.97,34.0,59.21,25.0,"36,72",25.0,"56,95",37.0,"41,7",34.0,38
КИРКОВО,СУ Никола Йонков Вапцаров,39.0,42.36,38.0,36.75,34.0,49.62,34.0,51.4,39.0,"32,28",39.0,"34,85",47.0,"33,02",46.0,"31,15"
КИРКОВО,СУ Христо Ботев,23.0,52.59,23.0,62.78,25.0,38.88,25.0,63.87,28.0,"33,64",28.0,"64,87",28.0,"17,04",28.0,"28,25"
КРУМОВГРАД,СУ Васил Левски,75.0,40.04,74.0,30.18,72.0,51.15,72.0,33.56,75.0,"41,87",74.0,"33,59",64.0,"50,91",64.0,"27,75"
КРУМОВГРАД,ПГ по транспорт Христо Смирненски,32.0,22.75,33.0,27.52,36.0,21.17,36.0,25.97,43.0,"16,26",43.0,40,35.0,"22,43",33.0,"25,45"
КРУМОВГРАД,ОУ Пейо Крачолов Яворов,13.0,28.04,13.0,22.92,14.0,44.82,14.0,59.21,9.0,"39,22",9.0,"48,22",8.0,"46,38",8.0,27
МОМЧИЛГРАД,СУ Никола Йонков Вапцаров,53.0,44.83,53.0,33.19,52.0,36.85,52.0,28.04,43.0,"35,6",43.0,"45,91",48.0,"33,04",48.0,"22,75"
МОМЧИЛГРАД,ПГ по туризъм и хранително-вкусова промишленост Св Св Кирил и Методий,21.0,30.83,19.0,33.08,20.0,27.38,20.0,34.0,7.0,"12,86",7.0,"31,43",23.0,"16,52",22.0,"23,45"
МОМЧИЛГРАД,Духовно Училище,29.0,49.98,29.0,28.41,34.0,42.06,34.0,29.81,19.0,"39,37",19.0,"33,34",20.0,"34,55",20.0,"21,6"
ЧЕРНООЧЕНЕ,СУ Христо Смирненски,47.0,28.18,48.0,19.81,40.0,41.13,40.0,52.4,53.0,"26,45",53.0,"39,92",42.0,"26,74",42.0,"24,5"
КЮСТЕНДИЛ,ПГ по селско стопанство Св Климент Охридски,17.0,12.35,17.0,15.76,19.0,12.18,18.0,11.78,15.0,"13,07",14.0,"19,43",13.0,"11,54",7.0,12
САПАРЕВА БАНЯ,СУ Христо Ботев,29.0,31.5,30.0,19.4,40.0,37.9,40.0,21.22,33.0,"32,82",33.0,"31,17",22.0,"34,77",22.0,"26,55"
БОБОВ ДОЛ,СУ Христо Ботев,12.0,40.25,13.0,21.12,10.0,26.45,10.0,18.03,11.0,"29,09",11.0,"20,05",8.0,20,8.0,16
БОБОВ ДОЛ,СУ Доктор Петър Берон,2.0,25.5,1.0,24.0,1.0,22.0,1.0,28.0,3.0,24,3.0,"32,83",5.0,"23,4",4.0,19
КОЧЕРИНОВО,СУ Христо Ботев,9.0,52.72,9.0,17.61,13.0,34.15,12.0,19.04,17.0,26,15.0,"18,1",21.0,"31,33",21.0,"15,95"
ДУПНИЦА,Средно езиково училище Св Паисий Хилендарски,51.0,61.09,51.0,28.37,51.0,68.89,51.0,44.18,51.0,"48,67",52.0,"35,19",48.0,"55,44",48.0,"24,54"
ДУПНИЦА,ПГ по облекло и стопанско управление,47.0,39.64,43.0,17.06,43.0,38.98,36.0,20.33,48.0,"26,04",46.0,"17,65",39.0,"32,49",32.0,"17,69"
ДУПНИЦА,ПГ по транспорт,22.0,27.11,21.0,27.64,19.0,23.61,18.0,27.33,28.0,"15,46",26.0,"32,46",16.0,"15,63",15.0,"24,8"
ДУПНИЦА,Профилирана гимназия Христо Ботев,101.0,65.76,90.0,48.67,110.0,59.32,106.0,32.93,133.0,"52,88",132.0,"37,09",129.0,"55,82",129.0,"34,36"
КЮСТЕНДИЛ,Езикова гимназия Д-р Петър Берон,77.0,63.73,77.0,28.31,77.0,66.11,77.0,36.66,81.0,"57,6",80.0,"39,6",83.0,"57,66",83.0,"24,27"
КЮСТЕНДИЛ,Природоматематическа гимназия Проф Емануил Иванов,101.0,64.66,100.0,48.75,103.0,63.74,103.0,53.66,98.0,"56,19",98.0,"55,15",75.0,"62,09",75.0,"44,35"
КЮСТЕНДИЛ,Професионална техническа гимназия Джон Атанасов,13.0,21.23,12.0,26.25,18.0,18.44,17.0,19.29,18.0,"24,72",18.0,"16,44",20.0,"20,4",20.0,"13,6"
КЮСТЕНДИЛ,ПГ по икономика и мениджмънт Йордан Захариев,89.0,40.42,89.0,19.6,98.0,37.55,93.0,20.01,88.0,"33,66",87.0,"15,3",97.0,"40,54",97.0,"16,72"
КЮСТЕНДИЛ,Спортно училище Васил Левски,18.0,36.94,17.0,18.32,7.0,29.14,6.0,17.5,24.0,"23,46",21.0,"18,1",18.0,"24,5",16.0,"12,56"
КЮСТЕНДИЛ,ПГ по туризъм Никола Йонков Вапцаров,33.0,25.77,34.0,15.96,33.0,30.62,33.0,17.19,40.0,"25,5",40.0,"19,26",41.0,"25,51",39.0,"14,82"
КЮСТЕНДИЛ,ПГ по лека промишленост Владимир Димитров-Майстора,17.0,12.65,15.0,16.4,23.0,12.24,24.0,13.17,20.0,"11,95",15.0,"16,53",20.0,"11,35",17.0,"9,18"
ДУПНИЦА,ПГ Акад Сергей П Корольов,55.0,32.17,53.0,16.77,60.0,31.46,59.0,17.88,57.0,"26,77",56.0,"17,89",57.0,"28,16",56.0,"16,89"
ДУПНИЦА,ПГ по хранително - вкусови и химични технологии,44.0,40.5,43.0,19.34,45.0,37.99,44.0,18.8,42.0,"33,48",43.0,"22,16",44.0,"25,45",44.0,"15,73"
БОБОВ ДОЛ,ПГ,14.0,27.61,14.0,17.25,25.0,33.28,25.0,16.59,14.0,29,14.0,"22,04",19.0,"23,16",19.0,"14,79"
АПРИЛЦИ,СУ Васил Левски,14.0,32.96,14.0,32.86,18.0,28.31,18.0,24.22,9.0,"21,22",9.0,"15,56",8.0,24,7.0,19
ЛЕТНИЦА,СУ Бачо Киро,13.0,27.92,13.0,16.81,19.0,21.03,19.0,16.63,21.0,"24,24",21.0,"17,21",25.0,"21,68",26.0,"13,88"
ЛОВЕЧ,СУ Тодор Кирков,19.0,36.11,19.0,16.97,23.0,29.17,22.0,19.83,12.0,"21,33",10.0,"17,6",17.0,"23,82",16.0,"11,75"
ЛОВЕЧ,СУ Свети Климент Охридски,,,,,23.0,32.07,22.0,21.09,16.0,"37,06",16.0,"13,31",13.0,"39,08",13.0,"15,31"
ЛОВЕЧ,Профилирана природо-математическа гимназия,100.0,61.88,100.0,37.99,95.0,55.87,95.0,36.17,100.0,"47,55",100.0,"37,38",93.0,"55,41",92.0,"33,04"
ЛОВЕЧ,ПГ по механоелектротехника,47.0,32.45,46.0,16.45,25.0,31.84,25.0,20.83,31.0,"24,03",31.0,"15,48",39.0,"28,23",36.0,"16,17"
ЛОВЕЧ,Профилирана езикова гимназия Екзарх Йосиф I,124.0,70.87,124.0,38.39,155.0,71.96,154.0,44.47,157.0,"61,77",157.0,"47,56",150.0,"65,48",150.0,"34,45"
ЛОВЕЧ,Национална професионална гимназия по ветеринарна медицина Проф д-р Димитър Димов,53.0,43.32,53.0,20.42,52.0,33.98,52.0,20.14,55.0,"30,22",55.0,"17,93",46.0,"33,91",46.0,"17,04"
ЛОВЕЧ,ПГ по икономика търговия и услуги,26.0,26.42,25.0,26.78,33.0,23.06,31.0,36.52,35.0,"19,6",35.0,"25,38",37.0,"34,89",36.0,"47,61"
ЛУКОВИТ,СУ Алеко Константинов,36.0,21.71,34.0,14.0,42.0,14.54,38.0,15.79,38.0,"18,89",39.0,"18,1",41.0,"23,02",40.0,"15,05"
ЛУКОВИТ,ОУ Неофит Рилски,8.0,29.81,8.0,13.56,12.0,24.38,11.0,17.36,,,,,,,,
ЛУКОВИТ,ПГ по селско стопанство Сергей Румянцев,65.0,37.38,64.0,19.91,61.0,31.06,61.0,17.02,49.0,"28,69",49.0,"17,65",65.0,"27,91",64.0,"16,31"
ТЕТЕВЕН,СУ Георги Бенковски,34.0,46.81,34.0,21.84,41.0,43.11,41.0,20.03,37.0,"31,73",36.0,"26,67",48.0,"38,42",49.0,"17,67"
ТЕТЕВЕН,Национална професионална гимназия по горско стопанство и дървообработване Сава Младенов,53.0,39.25,53.0,20.3,63.0,33.54,61.0,18.15,53.0,"30,08",53.0,"18,88",58.0,"31,48",58.0,"18,34"
ТЕТЕВЕН,ПГ по строителство електротехника и услуги,39.0,30.19,39.0,22.49,29.0,23.78,29.0,28.0,33.0,"23,61",33.0,"23,8",27.0,"19,11",27.0,"19,04"
ТРОЯН,СУ Васил Левски,19.0,50.71,19.0,29.18,17.0,31.12,17.0,20.43,16.0,"31,38",16.0,"16,38",,,,
ТРОЯН,СУ Васил Левски,76.0,56.05,76.0,26.6,75.0,55.33,75.0,29.06,65.0,"49,23",65.0,"29,26",74.0,"55,42",74.0,"28,04"
ТРОЯН,СУ Свети Климент Охридски,43.0,61.74,43.0,24.72,45.0,62.39,45.0,25.14,56.0,"43,48",56.0,"22,78",45.0,"45,49",45.0,"20,87"
ТРОЯН,ПГ по механоелектротехника Академик Ангел Балевски,31.0,25.13,30.0,17.72,37.0,27.55,35.0,14.17,36.0,"18,56",37.0,"18,57",32.0,"19,22",33.0,"15,64"
УГЪРЧИН,СУ Св Св Кирил и Методий,20.0,35.05,18.0,26.67,16.0,33.13,15.0,25.33,30.0,"27,67",30.0,"41,73",26.0,"26,54",26.0,"35,42"
ЯБЛАНИЦА,СУ Васил Левски,34.0,24.07,31.0,51.15,32.0,16.63,32.0,25.75,31.0,"15,9",31.0,"19,11",42.0,"14,48",43.0,"13,47"
МОНТАНА,Природо-математическа профилирана гимназия Св Климент Охридски,78.0,62.16,78.0,44.61,76.0,63.83,76.0,46.0,77.0,"53,82",77.0,42,79.0,"56,52",79.0,"33,22"
МОНТАНА,Профилирана гимназия с преподаване на чужди езици Петър Богдан,77.0,58.96,77.0,33.11,77.0,61.9,77.0,34.98,76.0,"58,17",76.0,"27,71",103.0,"54,23",102.0,"25,28"
МОНТАНА,Второ СУ Никола Йонков Вапцаров,14.0,37.11,13.0,34.0,11.0,48.14,11.0,34.34,10.0,"21,5",10.0,"12,45",14.0,"26,86",14.0,14
МОНТАНА,Седмо СУ Йордан Радичков,18.0,29.81,17.0,16.97,11.0,23.5,12.0,12.0,15.0,"28,6",15.0,"19,2",21.0,28,19.0,"13,89"
МОНТАНА,Финансово-стопанска професионална гимназия Васил Левски,74.0,51.3,73.0,17.08,67.0,52.53,67.0,23.05,68.0,"43,85",68.0,"22,93",65.0,"43,14",65.0,"17,23"
МОНТАНА,ПГ по строителство архитектура и компютърни науки Проф Арх Стефан Стефанов,77.0,43.99,76.0,23.1,74.0,49.95,73.0,21.53,77.0,"37,64",77.0,"23,68",47.0,"40,17",47.0,"21,11"
МОНТАНА,ПГ по лека промишленост,31.0,26.89,31.0,20.34,38.0,22.45,38.0,26.0,21.0,"17,71",20.0,"18,4",36.0,"13,75",31.0,"12,26"
МОНТАНА,ПГ по техника и електротехника Христо Ботев,67.0,32.63,65.0,14.92,64.0,34.21,64.0,15.78,58.0,"27,19",58.0,"19,11",51.0,"33,12",48.0,"17,6"
МОНТАНА,Шесто СУ Отец Паисий,18.0,22.56,16.0,16.34,14.0,24.43,14.0,35.71,14.0,"15,64",14.0,"28,86",12.0,"17,33",10.0,"27,6"
ЯКИМОВО,СУ Д-р Петър Берон,10.0,35.9,10.0,50.4,6.0,34.08,6.0,30.67,13.0,"34,85",13.0,"29,19",10.0,"16,8",10.0,16
БЕРКОВИЦА,Профилирана гимназия Д-р Иван Панов,33.0,41.47,32.0,23.02,31.0,36.89,31.0,23.62,32.0,"36,84",32.0,"29,38",33.0,"40,61",33.0,"27,7"
БЕРКОВИЦА,Лесотехническа професионална гимназия,35.0,31.66,35.0,21.97,24.0,48.19,23.0,34.16,41.0,"29,76",42.0,"20,46",43.0,"32,58",40.0,"16,55"
ЛОМ,ПГ по хранене и земеделие Дмитрий Иванович Менделеев,34.0,37.87,33.0,29.58,34.0,33.69,32.0,25.02,27.0,"20,63",27.0,"34,07",37.0,"23,41",36.0,"14,69"
БОЙЧИНОВЦИ,ПГ по транспорт Вл П Минчев,34.0,35.28,33.0,23.47,43.0,23.95,43.0,25.69,40.0,"21,33",40.0,"27,9",46.0,"29,07",46.0,"28,52"
БОЙЧИНОВЦИ,СУ Васил Левски,,,,,,,,,,,,,7.0,"32,71",3.0,"14,67"
ВРАЦА,Средно училищe Св cв Кирил и Методий,,,,,,,,,,,,,1.0,25,1.0,28
БРУСАРЦИ,СУ Христо Ботев,13.0,39.0,13.0,28.69,15.0,34.13,14.0,27.45,12.0,"27,75",12.0,"38,15",14.0,"23,29",14.0,"16,29"
МЕДКОВЕЦ,СУ Отец Паисий,9.0,34.17,7.0,21.21,9.0,26.83,10.0,24.0,19.0,"23,42",19.0,"20,26",10.0,"30,8",11.0,"18,36"
ГЕОРГИ ДАМЯНОВО,ПГ по селско стопанство Марко Марков,5.0,29.7,4.0,19.0,4.0,22.5,4.0,16.0,12.0,"16,92",11.0,"17,09",10.0,"14,9",10.0,"18,4"
ВЪЛЧЕДРЪМ,ПГ Димитър Маринов,20.0,23.9,20.0,18.35,14.0,32.36,14.0,24.13,22.0,"31,95",22.0,"23,99",12.0,"33,25",12.0,"15,67"
ВЪЛЧЕДРЪМ,СУ Христо Ботев,12.0,28.79,12.0,39.71,23.0,40.7,23.0,21.43,10.0,20,9.0,"26,67",9.0,"38,33",9.0,"34,67"
ВЪРШЕЦ,СУ Иван Вазов,39.0,48.17,38.0,42.61,36.0,24.64,36.0,24.01,35.0,"22,11",35.0,"21,24",32.0,"27,06",31.0,"17,61"
ЛОМ,СУ Отец Паисий,12.0,31.58,12.0,49.17,13.0,29.88,13.0,55.69,10.0,"32,3",10.0,"47,6",17.0,"29,76",17.0,"34,82"
ЛОМ,СУ Димитър Маринов,24.0,51.02,24.0,22.4,25.0,55.28,25.0,29.36,16.0,"36,56",16.0,"27,61",26.0,"39,35",26.0,"17,88"
ЛОМ,Профилирана гимназия Найден Геров,43.0,55.9,43.0,28.12,48.0,54.78,48.0,40.67,45.0,"44,96",45.0,"34,76",41.0,"49,51",41.0,"24,78"
ЛОМ,ПГ по производствени технологии,67.0,39.9,67.0,26.49,65.0,31.03,65.0,22.7,61.0,"22,95",61.0,"17,55",68.0,"41,04",67.0,"36,81"
ЛОМ,ПГ по селско стопанство Дунавска земя,16.0,29.22,14.0,33.14,15.0,25.3,15.0,22.93,11.0,"34,09",12.0,46,11.0,"27,91",11.0,"37,45"
ПАЗАРДЖИК,Спортно училище град Пазарджик,61.0,41.42,61.0,26.12,50.0,39.4,50.0,19.33,45.0,"32,64",45.0,"19,06",49.0,36,51.0,"20,67"
БАТАК,СУ Кирил и Методий,12.0,39.71,12.0,34.88,15.0,42.63,14.0,34.14,13.0,"33,62",13.0,"46,29",9.0,37,9.0,"36,78"
СЪРНИЦА,СУ Св св Кирил и Методий,47.0,48.0,44.0,52.72,28.0,56.79,27.0,85.29,34.0,31,34.0,"28,74",37.0,"34,89",37.0,"38,16"
СЕПТЕМВРИ,ПГ ПО ТРАНСПОРТ,15.0,46.9,15.0,42.13,24.0,44.56,24.0,44.33,14.0,"38,71",14.0,"58,2",7.0,"35,43",8.0,"32,25"
ПАЗАРДЖИК,ПГ по икономика и мениджмънт,152.0,54.24,150.0,25.44,130.0,54.65,130.0,23.79,153.0,"42,24",151.0,"28,07",174.0,"46,07",174.0,"23,37"
ПАЗАРДЖИК,СУ Димитър Гачев,13.0,44.23,13.0,39.77,13.0,26.73,13.0,46.15,16.0,"16,25",16.0,"46,5",22.0,"19,64",22.0,"36,55"
ВЕЛИНГРАД,ОУ Иван Вазов,22.0,57.2,22.0,34.86,10.0,36.95,10.0,52.5,15.0,"37,2",15.0,"47,57",15.0,"44,53",15.0,"40,67"
БРАЦИГОВО,СУ Народни будители,6.0,17.83,6.0,26.67,10.0,14.6,9.0,13.78,17.0,"15,59",17.0,"17,41",13.0,"15,31",13.0,"13,85"
ВЕЛИНГРАД,ОУ Васил Левски,12.0,39.92,12.0,51.29,12.0,52.46,12.0,63.21,12.0,"27,33",12.0,"45,63",10.0,"35,1",10.0,"28,4"
ВЕЛИНГРАД,СУ Св св Кирил и Методий,69.0,51.25,68.0,31.76,75.0,55.54,74.0,36.69,75.0,"49,4",74.0,"39,92",59.0,"57,81",59.0,"32,36"
РАКИТОВО,СУ Свети Климент Охридски,39.0,35.85,38.0,26.28,56.0,36.06,50.0,23.77,46.0,"26,37",46.0,"20,53",22.0,"21,05",21.0,"13,52"
СЕПТЕМВРИ,СУ Христо Ботев,29.0,48.66,29.0,27.12,17.0,44.32,17.0,21.94,22.0,"37,95",22.0,"29,1",17.0,"37,94",17.0,"27,24"
СЕПТЕМВРИ,ОУ Христо Ботев,10.0,21.5,10.0,34.4,8.0,35.69,8.0,40.5,15.0,"25,47",15.0,"45,87",11.0,"25,18",12.0,19
ВЕЛИНГРАД,СУ Методий Драгинов,45.0,37.51,44.0,64.63,46.0,38.52,45.0,46.58,44.0,"28,48",43.0,"43,85",44.0,"37,7",44.0,"30,02"
ПАЗАРДЖИК,ПГ ПО СЕЛСКО СТОПАНСТВО ЦАРИЦА ЙОАННА,33.0,12.36,30.0,14.93,42.0,12.74,42.0,23.65,31.0,"10,45",31.0,"24,77",27.0,"11,63",27.0,"12,22"
ЛЕСИЧОВО,ОУ Христо Ботев,8.0,17.56,7.0,36.57,6.0,45.08,3.0,29.33,6.0,"38,5",6.0,"35,92",11.0,"11,82",11.0,"20,36"
ВЕЛИНГРАД,СУ Христо Смирненски,43.0,42.5,43.0,57.98,41.0,43.93,41.0,56.1,34.0,"35,97",35.0,"44,49",36.0,"38,75",36.0,"37,36"
ВЕЛИНГРАД,СУ Васил Левски,42.0,62.06,42.0,46.48,45.0,63.57,45.0,63.51,50.0,"61,98",51.0,"66,45",51.0,"53,37",51.0,"31,29"
ПАЗАРДЖИК,Профилирана гимназия Иван Сергеевич Аксаков,26.0,44.08,26.0,33.12,32.0,46.61,32.0,40.03,9.0,"38,22",9.0,"33,53",9.0,"42,44",9.0,"15,67"
ПАНАГЮРИЩЕ,СУ Нешо Бончев,66.0,55.84,64.0,27.41,49.0,64.03,50.0,30.29,67.0,"51,64",66.0,"39,05",49.0,"60,35",48.0,"25,19"
ПЕЩЕРА,СУ Свети Климент Охридски,16.0,34.94,16.0,21.16,20.0,41.13,20.0,24.28,20.0,"44,95",20.0,"40,61",22.0,"52,91",22.0,"35,86"
СТРЕЛЧА,СУ Св Св Кирил и Методий,14.0,41.86,14.0,31.54,22.0,38.25,22.0,29.06,16.0,"32,88",16.0,"24,78",25.0,"31,32",25.0,"43,44"
РАКИТОВО,Възпитателно училище-интернат Ангел Узунов I-XII клас,7.0,29.07,7.0,35.43,1.0,32.0,1.0,40.0,4.0,"25,25",4.0,37,2.0,27,2.0,30
ПАЗАРДЖИК,ПГ по механоелектротехника,103.0,35.23,101.0,18.19,126.0,37.01,126.0,18.79,112.0,"26,89",111.0,"20,06",97.0,"31,35",97.0,"18,23"
БАТАК,ПГ по горско стопанство и дървообработване Стефан Божков,11.0,41.18,11.0,25.36,8.0,47.63,8.0,43.09,8.0,"19,13",8.0,"53,03",7.0,"26,57",7.0,"46,86"
ПЕЩЕРА,ПГ по хранително- вкусови технологии Атанас Ченгелев,40.0,44.48,40.0,47.15,32.0,37.89,32.0,19.72,28.0,"36,54",28.0,"43,99",37.0,"33,19",35.0,"24,29"
ПАЗАРДЖИК,ПГ по химични и хранителни технологии,80.0,37.86,78.0,49.47,71.0,33.73,69.0,46.28,80.0,"33,29",80.0,"53,66",74.0,"17,07",72.0,"14,22"
ВЕЛИНГРАД,ПГ ПО ДЪРВООБРАБОТВАНЕ ИВАН ВАЗОВ,16.0,26.31,14.0,29.25,24.0,20.58,22.0,23.47,31.0,"19,65",32.0,"20,88",40.0,"21,4",39.0,"21,97"
СЕПТЕМВРИ,ПГ по механизация на земеделското стопанство,27.0,36.85,27.0,43.1,41.0,37.56,40.0,21.5,26.0,16,24.0,"21,52",24.0,"20,29",25.0,"13,76"
ПАЗАРДЖИК,ПГ ПО ПРОМИШЛЕНИ ТЕХНОЛОГИИ,5.0,27.4,5.0,29.6,9.0,27.06,9.0,24.92,4.0,8,3.0,"13,33",12.0,"14,58",13.0,12
ПАЗАРДЖИК,ПГ по фризьорство и ресторантьорство-гр Пазарджик,16.0,19.47,16.0,13.69,27.0,17.59,26.0,20.01,30.0,"13,07",31.0,"18,45",43.0,"15,4",42.0,"12,57"
СЕПТЕМВРИ,СУ Христо Смирненски,8.0,29.06,8.0,32.56,6.0,28.92,6.0,38.54,8.0,"15,5",8.0,34,8.0,"12,5",8.0,22
ВЕЛИНГРАД,ПГ по икономика и туризъм Алеко Константинов,61.0,33.74,59.0,17.75,85.0,38.5,85.0,22.21,72.0,"30,58",72.0,"20,95",76.0,"39,17",75.0,"40,41"
ПАЗАРДЖИК,Езикова гимназия Бертолт Брехт,176.0,64.51,175.0,44.83,177.0,68.21,176.0,52.05,203.0,"60,69",203.0,"55,17",199.0,"62,56",193.0,"33,94"
ПАЗАРДЖИК,ПГ по строителство и архитектура,22.0,33.0,22.0,13.77,42.0,28.15,41.0,15.45,25.0,"24,68",24.0,"27,69",24.0,"34,33",24.0,"21,88"
ПЕЩЕРА,ОУ Любен Каравелов,19.0,33.74,19.0,27.82,17.0,25.5,16.0,21.25,15.0,"26,73",15.0,"36,53",14.0,"27,57",13.0,"22,15"
