Община,Училище,БЕЛ-УЧ 24,БЕЛ 24,МАТ-УЧ 24,МАТ 24,БЕЛ-УЧ 23,БЕЛ 23,МАТ-УЧ 23,МАТ 23,БЕЛ-УЧ 22,БЕЛ 22,МАТ-УЧ 22,МАТ 22,БЕЛ-УЧ 21,БЕЛ 21,МАТ-УЧ 21,МАТ 21
БУРГАС,ПГ по морско корабоплаване и риболов Свети Никола,77.0,34.33,73.0,20.76,71.0,36.77,71.0,18.19,48.0,"30,06",47.0,"49,24",28.0,"18,46",28.0,"21,57"
БУРГАС,ПГ по механоелектротехника и електроника,182.0,48.98,180.0,27.56,190.0,45.47,188.0,22.87,170.0,"42,72",170.0,"25,42",152.0,"40,07",152.0,"20,43"
БУРГАС,ПГ по строителство архитектура и геодезия Кольо Фичето,159.0,58.14,159.0,27.83,173.0,54.73,171.0,29.88,154.0,"46,8",154.0,"25,44",153.0,"46,59",153.0,"21,37"
БУРГАС,Търговска гимназия,160.0,61.52,157.0,34.15,177.0,64.03,176.0,39.81,153.0,"58,95",152.0,"38,37",158.0,"61,41",158.0,"28,66"
БУРГАС,ПГ по химични технологии Акад Н Д Зелинский,122.0,40.8,120.0,36.59,118.0,40.6,116.0,22.85,122.0,"35,15",122.0,"49,07",89.0,"35,19",88.0,"22,45"
БУРГАС,ПГ по електротехника и електроника Константин Фотинов,144.0,41.5,143.0,20.67,138.0,40.21,139.0,22.25,110.0,"37,99",110.0,"25,62",124.0,"32,65",122.0,"18,88"
БУРГАС,ПГ по транспорт,67.0,25.49,67.0,16.78,58.0,23.94,58.0,17.38,68.0,"20,18",68.0,"18,85",53.0,"21,62",53.0,"16,75"
БУРГАС,Професионална техническа гимназия,21.0,16.24,20.0,22.85,29.0,13.78,24.0,15.0,34.0,"9,09",34.0,"19,21",29.0,"13,31",23.0,"14,78"
БУРГАС,ПГ по сградостроителство и инсталации Пеньо Пенев,13.0,17.96,10.0,23.6,20.0,14.23,19.0,15.41,16.0,"9,69",13.0,"21,23",23.0,"16,87",23.0,"13,91"
БУРГАС,Частна профилирана гимназия с изучаване на английски език Британика 1998,6.0,60.75,5.0,25.9,7.0,34.36,7.0,32.79,7.0,24,7.0,"23,21",8.0,"47,5",8.0,"20,75"
