;брой;брой;брой;брой;брой;брой;брой;брой;
;2021;2021;2021;2021;2021;2021;2021;2021;
;Общо;Български;Турски;Ромски;Друг;Не мога да определя;Не желая да отговоря;Непоказан;
BLG52 Хаджидимово;8860;7852;467;144;73;7;30;287;
BLG53 Якоруда;9581;7943;817;281;9;4;80;447;
KNL Кюстендил;111736;101911;58;6225;412;68;286;2776;
KNL04 Бобов дол;6862;6643;10;99;27;5;11;67;
KNL05 Бобошево;2348;2302;-;-;9;2;5;30;
KNL48 Дупница;37795;34408;30;2119;96;31;122;989;
KNL27 Кочериново;4260;4176;2;15;20;2;7;38;
KNL29 Кюстендил;49080;43377;14;3814;218;22;107;1528;
KNL31 Невестино;1824;1729;1;41;20;1;1;31;
KNL38 Рила;2442;2375;-;31;4;1;4;27;
KNL41 Сапарева баня;6691;6474;1;105;18;4;28;61;
KNL50 Трекляно;434;427;-;1;-;-;1;5;
PER Перник;114162;109992;120;979;584;68;419;2000;
PER08 Брезник;5800;5483;4;202;16;4;26;65;
PER19 Земен;2013;1973;4;7;6;3;7;13;
PER22 Ковачевци;1262;1238;-;-;5;1;2;16;
PER32 Перник;84347;81780;66;209;447;50;328;1467;
PER36 Радомир;17238;16473;30;189;100;6;54;386;
PER51 Трън;3502;3045;16;372;10;4;2;53;
SFO София;231989;199087;336;11762;952;166;1026;18660;
SFO54 Антон;1464;1397;3;21;5;-;1;37;
SFO06 Божурище;9463;8856;16;13;51;1;50;476;
SFO07 Ботевград;31238;27012;26;1476;79;28;210;2407;
SFO09 Годеч;4927;4683;2;8;15;9;17;193;
SFO10 Горна Малина;6175;5738;17;99;29;3;7;282;
SFO59 Долна баня;4248;2965;-;970;14;2;2;295;
SFO16 Драгоман;4613;4307;3;-;12;14;17;260;
SFO17 Елин Пелин;23104;20158;64;704;109;12;170;1887;
SFO18 Етрополе;10888;9950;11;290;82;14;21;520;
SFO47 Златица;4966;4528;23;19;22;2;22;350;
SFO20 Ихтиман;17397;10277;15;4126;40;2;77;2860;
SFO24 Копривщица;1957;1897;1;-;6;-;2;51;
SFO25 Костенец;11062;10028;5;374;41;4;16;594;
SFO26 Костинброд;17824;16277;22;112;110;13;85;1205;
SFO56 Мирково;2337;2145;8;64;5;2;5;108;
SFO55 Пирдоп;7281;6689;34;105;30;6;29;388;
SFO34 Правец;7131;6019;16;499;41;12;38;506;
SFO39 Самоков;34864;27283;36;2679;150;18;137;4561;
SFO43 Своге;19427;17975;18;78;63;9;72;1212;
SFO45 Сливница;8987;8421;12;101;39;11;41;362;
SFO57 Чавдар;1180;1129;-;10;3;-;2;36;
SFO58 Челопеч;1456;1353;4;14;6;4;5;70;
SOF София (столица);1274290;1013423;5195;10842;17131;1278;9825;216596;
SOF46 Столична;1274290;1013423;5195;10842;17131;1278;9825;216596;
BG42 Южен централен;1313337;960873;158819;53042;8618;2201;12932;116852;
KRZ Кърджали;141177;39062;83293;1198;274;335;3322;13693;
KRZ02 Ардино;11318;2642;7432;7;11;16;227;983;
KRZ08 Джебел;8375;1341;5859;21;8;7;276;863;
KRZ14 Кирково;20442;7365;10711;230;9;61;433;1633;
KRZ15 Крумовград;16909;4870;10437;12;31;30;322;1207;
KRZ16 Кърджали;62005;21141;31146;803;198;183;1761;6773;
KRZ21 Момчилград;14353;1529;10539;125;15;24;267;1854;
KRZ35 Черноочене;7775;174;7169;-;2;14;36;380;
PAZ Пазарджик;229814;182818;7148;13090;1012;503;1341;23902;
PAZ03 Батак;4869;2589;1924;74;10;51;8;213;
