;брой;брой;брой;брой;брой;брой;брой;брой;
;2021;2021;2021;2021;2021;2021;2021;2021;
;Общо;Българска;Турска;Ромска;Друга;Не мога да определя;Не желая да отговоря;Непоказана;
BGS06 Средец;13145;9603;105;2316;172;16;38;895;
BGS23 Сунгурларе;10583;4858;3903;919;153;119;66;565;
BGS13 Царево;8329;6570;21;1122;77;5;45;489;
SLV Сливен;172690;115607;13217;23918;1861;305;1386;16396;
SLV11 Котел;15919;5314;4733;4117;138;26;386;1205;
SLV16 Нова Загора;30569;22423;3161;1499;168;114;270;2934;
SLV20 Сливен;112890;80042;4331;14872;1488;132;656;11369;
SLV24 Твърдица;13312;7828;992;3430;67;33;74;888;
SZR Стара Загора;296507;239770;12170;18158;2465;816;2113;21015;
SZR04 Братя Даскалови;7266;5205;394;1238;55;18;39;317;
SZR37 Гурково;4420;3508;172;197;39;14;73;417;
SZR07 Гълъбово;10967;9499;52;908;31;3;56;418;
SZR12 Казанлък;65721;53177;3942;2503;1197;260;562;4080;
SZR22 Мъглиж;9992;5551;284;3138;103;92;44;780;
SZR38 Николаево;4194;2840;771;252;7;13;12;299;
SZR23 Опан;2418;2134;9;84;25;2;31;133;
SZR24 Павел баня;12594;6042;4075;1449;95;70;165;698;
SZR27 Раднево;16585;14605;211;594;60;15;85;1015;
SZR31 Стара Загора;144213;123536;1211;5951;794;285;965;11471;
SZR36 Чирпан;18137;13673;1049;1844;59;44;81;1387;
JAM Ямбол;109693;90733;994;7116;836;133;510;9371;
JAM03 Болярово;3118;2604;12;251;94;7;13;137;
JAM07 Елхово;13272;11269;35;1061;203;15;55;634;
JAM22 Стралджа;10370;7201;148;1641;56;36;66;1222;
JAM25 Тунджа;21167;18025;61;1675;222;27;110;1047;
JAM26 Ямбол;61766;51634;738;2488;261;48;266;6331;
BG4 Югозападна и Южна централна България;3337741;2685575;178686;102782;43595;7288;34347;285468;
BG41 Югозападен;2024404;1709360;20435;47757;26422;4236;18304;197890;
BLG Благоевград;292227;236951;14028;12318;11197;1210;2558;13965;
BLG01 Банско;12722;11380;42;593;181;33;85;408;
BLG02 Белица;9206;3270;1978;745;2612;78;295;228;
BLG03 Благоевград;69078;62219;73;1656;740;72;361;3957;
BLG11 Гоце Делчев;29383;20578;5305;185;1650;160;318;1187;
BLG13 Гърмен;14861;7708;2593;1828;2137;54;205;336;
BLG28 Кресна;4546;4346;4;50;23;3;11;109;
BLG33 Петрич;47939;40786;223;2891;152;122;170;3595;
BLG37 Разлог;18910;17277;23;743;67;22;73;705;
BLG40 Сандански;35885;31939;79;1219;269;135;268;1976;
BLG42 Сатовча;13422;7995;1057;230;2808;487;513;332;
BLG44 Симитли;13200;11920;10;809;24;5;20;412;
BLG49 Струмяни;4634;3345;5;918;25;12;63;266;
BLG52 Хаджидимово;8860;7236;804;152;409;15;57;187;
BLG53 Якоруда;9581;6952;1832;299;100;12;119;267;
KNL Кюстендил;111736;101735;56;6555;329;107;402;2552;
KNL04 Бобов дол;6862;6601;11;123;31;11;19;66;
KNL05 Бобошево;2348;2303;2;-;7;1;6;29;
KNL48 Дупница;37795;34271;18;2286;87;31;157;945;
KNL27 Кочериново;4260;4170;3;21;19;1;10;36;
KNL29 Кюстендил;49080;43463;19;3888;154;27;169;1360;
KNL31 Невестино;1824;1729;1;43;17;4;1;29;
KNL38 Рила;2442;2350;1;51;2;4;7;27;
KNL41 Сапарева баня;6691;6427;1;135;12;28;33;55;
KNL50 Трекляно;434;421;-;8;-;-;-;5;
PER Перник;114162;107459;128;3544;388;106;612;1925;
PER08 Брезник;5800;5351;4;345;9;3;27;61;
PER19 Земен;2013;1961;5;20;5;-;9;13;
PER22 Ковачевци;1262;1242;1;-;2;1;2;14;
PER32 Перник;84347;80167;77;1833;293;81;479;1417;
PER36 Радомир;17238;16119;27;542;71;15;95;369;
PER51 Трън;3502;2619;14;804;8;6;-;51;
SFO София;231989;204662;342;11380;742;221;1238;13404;
SFO54 Антон;1464;1405;3;21;6;1;1;27;
SFO06 Божурище;9463;8931;12;22;33;11;67;387;
SFO07 Ботевград;31238;25968;33;3185;58;11;257;1726;
SFO09 Годеч;4927;4719;2;19;12;16;20;139;
SFO10 Горна Малина;6175;5802;6;119;17;4;19;208;
SFO59 Долна баня;4248;2999;-;1021;11;5;3;209;
SFO16 Драгоман;4613;4390;4;4;8;14;22;171;
SFO17 Елин Пелин;23104;20449;55;986;82;19;198;1315;
SFO18 Етрополе;10888;10054;11;322;80;19;28;374;
SFO47 Златица;4966;4587;31;61;15;2;29;241;
SFO20 Ихтиман;17397;14578;28;650;32;4;67;2038;
SFO24 Копривщица;1957;1907;2;-;3;-;5;40;
SFO25 Костенец;11062;10237;3;378;27;6;24;387;
SFO26 Костинброд;17824;16579;15;134;83;28;114;871;
SFO56 Мирково;2337;2164;5;72;4;1;8;83;
SFO55 Пирдоп;7281;6780;41;139;18;8;36;259;
SFO34 Правец;7131;6066;15;574;26;19;46;385;
SFO39 Самоков;34864;27834;38;3305;148;28;146;3365;
SFO43 Своге;19427;18324;17;88;43;15;93;847;
SFO45 Сливница;8987;8486;16;150;29;10;47;249;
SFO57 Чавдар;1180;1076;-;66;2;-;4;32;
SFO58 Челопеч;1456;1327;5;64;5;-;4;51;
SOF София (столица);1274290;1058553;5881;13960;13766;2592;13494;166044;
SOF46 Столична;1274290;1058553;5881;13960;13766;2592;13494;166044;
BG42 Южен централен;1313337;976215;158251;55025;17173;3052;16043;87578;
KRZ Кърджали;141177;37383;83280;1354;2130;640;4269;12121;
KRZ02 Ардино;11318;1678;7461;7;937;40;282;913;
KRZ08 Джебел;8375;1253;5877;19;83;12;326;805;
KRZ14 Кирково;20442;6956;10660;304;322;184;574;1442;
KRZ15 Крумовград;16909;4193;10364;46;500;57;665;1084;
KRZ16 Кърджали;62005;21517;31116;852;211;305;2080;5924;
KRZ21 Момчилград;14353;1615;10598;124;75;29;302;1610;
KRZ35 Черноочене;7775;171;7204;2;2;13;40;343;
PAZ Пазарджик;229814;184677;6782;14320;4686;594;1595;17160;
PAZ03 Батак;4869;2630;1920;77;4;54;17;167;
PAZ04 Белово;7324;6691;2;78;33;1;16;503;
PAZ06 Брацигово;7355;6587;60;235;41;9;51;372;
PAZ08 Велинград;32951;25010;229;2022;2694;87;239;2670;
PAZ14 Лесичово;4695;3352;357;721;13;5;5;242;
PAZ19 Пазарджик;91368;74989;1853;4248;419;318;749;8792;
PAZ20 Панагюрище;22084;20958;16;194;43;17;138;718;
PAZ21 Пещера;14742;10956;1452;713;65;30;172;1354;
PAZ24 Ракитово;13490;9392;27;2779;302;14;132;844;
PAZ29 Септември;21795;16684;790;2965;68;56;34;1198;
PAZ32 Стрелча;4409;3884;3;283;7;1;17;214;
PAZ39 Сърница;4732;3544;73;5;997;2;25;86;
PDV Пловдив;634497;513249;39585;26296;5004;1220;6914;42229;
PDV01 Асеновград;57601;39911;13225;211;139;97;707;3311;
PDV07 Брезово;6170;5073;29;705;28;16;28;291;
PDV12 Калояново;10598;9497;353;287;29;8;27;397;
PDV13 Карлово;46784;35177;2538;5953;311;216;472;2117;
PDV39 Кричим;7245;4045;2234;338;61;14;211;342;
PDV42 Куклен;6276;3550;1754;557;33;14;96;272;
PDV15 Лъки;2220;2096;3;-;3;3;24;91;
PDV17 Марица;32154;27553;960;1816;104;52;511;1158;
PDV40 Перущица;4298;3083;5;909;14;1;11;275;
PDV22 Пловдив;319612;265207;13943;4953;3690;591;3873;27355;
PDV23 Първомай;21807;16582;1808;2138;82;28;93;1076;
PDV25 Раковски;25893;22118;115;2530;72;19;73;966;
PDV26 Родопи;32689;27694;1889;1141;217;75;282;1391;
PDV28 Садово;14766;12281;345;1239;29;26;239;607;
PDV43 Сопот;8375;7365;185;136;71;2;40;576;
PDV41 Стамболийски;18107;14510;55;2255;60;31;137;1059;
PDV33 Съединение;9310;8115;77;698;20;14;36;350;
PDV37 Хисаря;10592;9392;67;430;41;13;54;595;
SML Смолян;96284;86818;3049;483;3589;236;1373;736;
SML02 Баните;3302;3213;20;26;9;5;18;11;
SML05 Борино;2493;872;1495;11;19;17;59;20;
SML09 Девин;9765;8100;1014;4;127;65;386;69;
SML10 Доспат;7510;6424;44;24;815;24;135;44;
SML11 Златоград;9768;9563;23;-;45;19;44;74;
SML16 Мадан;10062;8815;257;1;795;24;117;53;
SML18 Неделино;5079;4993;-;1;4;6;18;57;
SML27 Рудозем;8674;6978;15;-;1458;20;157;46;
SML31 Смолян;33688;32067;164;411;300;48;372;326;
SML38 Чепеларе;5943;5793;17;5;17;8;67;36;
HKV Хасково;211565;154088;25555;12572;1764;362;1892;15332;
HKV09 Димитровград;44632;37448;708;2642;219;60;369;3186;
HKV11 Ивайловград;5161;3944;707;150;28;6;121;205;
HKV17 Любимец;8940;7049;180;1237;19;11;12;432;
HKV18 Маджарово;1484;705;528;94;3;7;2;145;
HKV19 Минерални бани;5520;2065;2760;255;17;18;43;362;
HKV28 Свиленград;20764;17143;494;1510;119;15;319;1164;
HKV29 Симеоновград;7700;5879;35;860;26;28;26;846;
HKV30 Стамболово;5458;976;3648;311;8;23;52;440;
HKV32 Тополовград;8941;7457;35;777;75;4;37;556;
HKV33 Харманли;21623;15116;2326;1495;755;39;111;1781;
HKV34 Хасково;81342;56306;14134;3241;495;151;800;6215;
