;брой;брой;брой;брой;брой;брой;брой;брой;брой;брой;брой;брой;брой;брой;брой;
;Общо;Общо;Общо;Работна сила;Работна сила;Работна сила;Заети;Заети;Заети;Безработни;Безработни;Безработни;Лица извън работната сила;Лица извън работната сила;Лица извън работната сила;
;Общо;Мъже;Жени;Общо;Мъже;Жени;Общо;Мъже;Жени;Общо;Мъже;Жени;Общо;Мъже;Жени;
Ситово;4006;2021;1985;1844;1083;761;1328;799;529;516;284;232;2162;938;1224;
Тутракан;10821;5203;5618;4465;2450;2015;3953;2146;1807;512;304;208;6356;2753;3603;
Североизточен;715326;341534;373792;374438;195996;178442;330890;172770;158120;43548;23226;20322;340888;145538;195350;
Варна;368226;175281;192945;206443;106072;100371;188069;96287;91782;18374;9785;8589;161783;69209;92574;
Аврен;7155;3525;3630;3002;1636;1366;2439;1337;1102;563;299;264;4153;1889;2264;
Аксаково;16495;8130;8365;8508;4526;3982;7722;4094;3628;786;432;354;7987;3604;4383;
Белослав;8524;4299;4225;4744;2592;2152;4334;2396;1938;410;196;214;3780;1707;2073;
Бяла;2569;1262;1307;1402;735;667;1177;623;554;225;112;113;1167;527;640;
Варна;271801;127797;144004;159838;80584;79254;149374;74938;74436;10464;5646;4818;111963;47213;64750;
Ветрино;4079;1981;2098;1999;1106;893;1512;868;644;487;238;249;2080;875;1205;
Вълчи дол;6629;3280;3349;3000;1643;1357;2103;1214;889;897;429;468;3629;1637;1992;
Девня;6194;3071;3123;3243;1786;1457;2816;1575;1241;427;211;216;2951;1285;1666;
Долни чифлик;13031;6326;6705;6390;3514;2876;4949;2657;2292;1441;857;584;6641;2812;3829;
Дългопол;10532;5174;5358;4689;2601;2088;3246;1843;1403;1443;758;685;5843;2573;3270;
Провадия;15658;7683;7975;6830;3776;3054;6023;3377;2646;807;399;408;8828;3907;4921;
Суворово;5559;2753;2806;2798;1573;1225;2374;1365;1009;424;208;216;2761;1180;1581;
Добрич;130703;62036;68667;62809;33514;29295;54537;29034;25503;8272;4480;3792;67894;28522;39372;
Балчик;13963;6717;7246;6465;3383;3082;5607;2901;2706;858;482;376;7498;3334;4164;
Генерал Тошево;9803;4727;5076;4059;2282;1777;3306;1884;1422;753;398;355;5744;2445;3299;
Добрич-селска;14315;7027;7288;5579;3269;2310;4424;2656;1768;1155;613;542;8736;3758;4978;
Добрич;64547;29933;34614;34470;17882;16588;31407;16238;15169;3063;1644;1419;30077;12051;18026;
Каварна;11545;5467;6078;5038;2676;2362;4367;2316;2051;671;360;311;6507;2791;3716;
Крушари;2659;1338;1321;1134;700;434;645;417;228;489;283;206;1525;638;887;
Тервел;10258;5083;5175;4389;2430;1959;3304;1854;1450;1085;576;509;5869;2653;3216;
Шабла;3613;1744;1869;1675;892;783;1477;768;709;198;124;74;1938;852;1086;
Търговище;85123;41061;44062;39656;21429;18227;32739;17753;14986;6917;3676;3241;45467;19632;25835;
Антоново;4017;2064;1953;1695;965;730;941;553;388;754;412;342;2322;1099;1223;
Омуртаг;14290;6947;7343;5682;3199;2483;4480;2546;1934;1202;653;549;8608;3748;4860;
Опака;4822;2440;2382;1959;1100;859;1460;834;626;499;266;233;2863;1340;1523;
Попово;20045;9612;10433;9140;4925;4215;7477;4012;3465;1663;913;750;10905;4687;6218;
Търговище;41949;19998;21951;21180;11240;9940;18381;9808;8573;2799;1432;1367;20769;8758;12011;
Шумен;131274;63156;68118;65530;34981;30549;55545;29696;25849;9985;5285;4700;65744;28175;37569;
Велики Преслав;9271;4488;4783;4350;2395;1955;3588;1978;1610;762;417;345;4921;2093;2828;
Венец;5372;2625;2747;1950;1138;812;1568;934;634;382;204;178;3422;1487;1935;
Върбица;6651;3236;3415;2606;1441;1165;1656;946;710;950;495;455;4045;1795;2250;
Каолиново;9012;4489;4523;4062;2263;1799;2343;1391;952;1719;872;847;4950;2226;2724;
Каспичан;5496;2668;2828;2684;1442;1242;2033;1096;937;651;346;305;2812;1226;1586;
Никола Козлево;4326;2138;2188;2063;1164;899;1225;728;497;838;436;402;2263;974;1289;
Нови пазар;12680;6150;6530;5875;3160;2715;5047;2749;2298;828;411;417;6805;2990;3815;
Смядово;4823;2339;2484;2147;1174;973;1732;947;785;415;227;188;2676;1165;1511;
Хитрино;5160;2582;2578;1941;1168;773;1544;960;584;397;208;189;3219;1414;1805;
Шумен;68483;32441;36042;37852;19636;18216;34809;17967;16842;3043;1669;1374;30631;12805;17826;
Югоизточен;808717;385233;423484;411851;214294;197557;364903;188921;175982;46948;25373;21575;396866;170939;225927;
Бургас;322039;153256;168783;169130;86740;82390;152130;77529;74601;17000;9211;7789;152909;66516;86393;
Айтос;21137;10011;11126;10662;5494;5168;9165;4717;4448;1497;777;720;10475;4517;5958;
Бургас;167090;78282;88808;94916;47804;47112;88237;44328;43909;6679;3476;3203;72174;30478;41696;
Камено;8148;4018;4130;3799;2110;1689;3199;1791;1408;600;319;281;4349;1908;2441;
Карнобат;17619;8333;9286;8395;4493;3902;7278;3857;3421;1117;636;481;9224;3840;5384;
Малко Търново;2318;1094;1224;910;477;433;777;405;372;133;72;61;1408;617;791;
Несебър;19971;9532;10439;10750;5479;5271;9920;4983;4937;830;496;334;9221;4053;5168;
Поморие;21443;10247;11196;10860;5560;5300;9477;4732;4745;1383;828;555;10583;4687;5896;
Приморско;4878;2375;2503;2477;1300;1177;2279;1197;1082;198;103;95;2401;1075;1326;
Руен;21999;10933;11066;9743;5213;4530;8003;4220;3783;1740;993;747;12256;5720;6536;
Созопол;10360;5065;5295;4568;2370;2198;4186;2152;2034;382;218;164;5792;2695;3097;
Средец;11049;5596;5453;4845;2626;2219;3735;2064;1671;1110;562;548;6204;2970;3234;
Сунгурларе;8870;4284;4586;3622;1985;1637;2841;1564;1277;781;421;360;5248;2299;2949;
Царево;7157;3486;3671;3583;1829;1754;3033;1519;1514;550;310;240;3574;1657;1917;
Сливен;140352;66772;73580;64712;33929;30783;54312;28160;26152;10400;5769;4631;75640;32843;42797;
Котел;13296;6517;6779;6476;3461;3015;3695;1964;1731;2781;1497;1284;6820;3056;3764;
Нова Загора;24965;11888;13077;10465;5601;4864;9050;4848;4202;1415;753;662;14500;6287;8213;
Сливен;91851;43315;48536;43944;22900;21044;38598;19856;18742;5346;3044;2302;47907;20415;27492;
Твърдица;10240;5052;5188;3827;1967;1860;2969;1492;1477;858;475;383;6413;3085;3328;
Стара Загора;253117;120322;132795;132580;69326;63254;118228;61701;56527;14352;7625;6727;120537;50996;69541;
Братя Даскалови;6101;3010;3091;2239;1241;998;1634;906;728;605;335;270;3862;1769;2093;
Гурково;3476;1694;1782;1569;849;720;1054;591;463;515;258;257;1907;845;1062;
Гълъбово;9498;4606;4892;4627;2536;2091;3703;2078;1625;924;458;466;4871;2070;2801;
Казанлък;56553;26659;29894;30297;15847;14450;27592;14361;13231;2705;1486;1219;26256;10812;15444;
Мъглиж;8215;4023;4192;3839;2091;1748;2546;1430;1116;1293;661;632;4376;1932;2444;
Николаево;3108;1515;1593;1282;766;516;731;421;310;551;345;206;1826;749;1077;
Опан;2198;1080;1118;806;459;347;616;367;249;190;92;98;1392;621;771;
Павел баня;10524;4977;5547;4691;2542;2149;3910;2080;1830;781;462;319;5833;2435;3398;
Раднево;14408;7071;7337;7294;3955;3339;6317;3505;2812;977;450;527;7114;3116;3998;
Стара Загора;123762;58367;65395;69042;35314;33728;64267;32823;31444;4775;2491;2284;54720;23053;31667;
Чирпан;15274;7320;7954;6894;3726;3168;5858;3139;2719;1036;587;449;8380;3594;4786;
Ямбол;93209;44883;48326;45429;24299;21130;40233;21531;18702;5196;2768;2428;47780;20584;27196;
Болярово;2725;1314;1411;1093;616;477;827;455;372;266;161;105;1632;698;934;
Елхово;11582;5705;5877;5578;2979;2599;4580;2455;2125;998;524;474;6004;2726;3278;
Стралджа;8338;4132;4206;3285;1898;1387;2668;1540;1128;617;358;259;5053;2234;2819;
Тунджа;18344;9026;9318;7042;4013;3029;6005;3464;2541;1037;549;488;11302;5013;6289;
Ямбол;52220;24706;27514;28431;14793;13638;26153;13617;12536;2278;1176;1102;23789;9913;13876;
Югозападна и Южна централна България;2864537;1358631;1505906;1590000;809811;780189;1462769;740322;722447;127231;69489;57742;1274537;548820;725717;
Югозападен;1734220;820733;913487;1020473;513944;506529;954336;477529;476807;66137;36415;29722;713747;306789;406958;
Благоевград;249633;120325;129308;126710;64406;62304;110269;54981;55288;16441;9425;7016;122923;55919;67004;
Банско;10933;5202;5731;5855;3003;2852;5174;2607;2567;681;396;285;5078;2199;2879;
Белица;7711;3750;3961;3606;1904;1702;2333;1235;1098;1273;669;604;4105;1846;2259;
Благоевград;59056;28027;31029;33276;16776;16500;29995;15033;14962;3281;1743;1538;25780;11251;14529;
Гоце Делчев;24811;11920;12891;13187;6523;6664;11843;5727;6116;1344;796;548;11624;5397;6227;
Гърмен;11986;5911;6075;5653;2936;2717;4333;2156;2177;1320;780;540;6333;2975;3358;
Кресна;4070;2038;2032;1925;1053;872;1648;886;762;277;167;110;2145;985;1160;
Петрич;41161;19874;21287;20198;10312;9886;17891;8900;8991;2307;1412;895;20963;9562;11401;
Разлог;16211;7802;8409;8578;4383;4195;7487;3736;3751;1091;647;444;7633;3419;4214;
Сандански;30897;14706;16191;15524;7722;7802;14093;6935;7158;1431;787;644;15373;6984;8389;
Сатовча;11525;5656;5869;5397;2693;2704;4250;1956;2294;1147;737;410;6128;2963;3165;
Симитли;11399;5669;5730;5329;2745;2584;4706;2431;2275;623;314;309;6070;2924;3146;
Струмяни;3971;1940;2031;1304;711;593;1173;631;542;131;80;51;2667;1229;1438;
Хаджидимово;7737;3830;3907;3735;1973;1762;2895;1463;1432;840;510;330;4002;1857;2145;
Якоруда;8165;4000;4165;3143;1672;1471;2448;1285;1163;695;387;308;5022;2328;2694;
Кюстендил;98129;46821;51308;44044;22264;21780;39877;19905;19972;4167;2359;1808;54085;24557;29528;
Бобов дол;6219;3163;3056;2447;1123;1324;2208;1009;1199;239;114;125;3772;2040;1732;
Бобошево;2125;1009;1116;830;445;385;722;366;356;108;79;29;1295;564;731;
Дупница;32602;15501;17101;15184;7677;7507;13740;6823;6917;1444;854;590;17418;7824;9594;
Кочериново;3799;1809;1990;1782;975;807;1467;779;688;315;196;119;2017;834;1183;
Кюстендил;43145;20274;22871;19401;9724;9677;17797;8851;8946;1604;873;731;23744;10550;13194;
Невестино;1737;891;846;452;250;202;419;228;191;33;22;11;1285;641;644;
Рила;2173;1080;1093;921;490;431;795;431;364;126;59;67;1252;590;662;
Сапарева баня;5929;2888;3041;2902;1511;1391;2617;1356;1261;285;155;130;3027;1377;1650;
Трекляно;400;206;194;125;69;56;112;62;50;13;7;6;275;137;138;
Перник;99188;46998;52190;52341;26384;25957;47062;23400;23662;5279;2984;2295;46847;20614;26233;
Брезник;5194;2513;2681;2203;1173;1030;1963;1031;932;240;142;98;2991;1340;1651;
Земен;1870;925;945;681;393;288;594;341;253;87;52;35;1189;532;657;
Ковачевци;1163;583;580;390;229;161;326;187;139;64;42;22;773;354;419;
Перник;72629;34174;38455;40321;20013;20308;36779;18042;18737;3542;1971;1571;32308;14161;18147;
Радомир;15239;7280;7959;7447;3874;3573;6578;3382;3196;869;492;377;7792;3406;4386;
