;2021;2021;2021;2021;2021;2021;2021;2021;2021;
;брой;брой;брой;брой;брой;брой;брой;брой;брой;
;Общо;Много добро;Добро;Задоволително;Лошо;Много лошо;Не мога да определя;Не желая да отговоря;Непоказано;
Айтос;25481;5499;12090;3176;658;130;235;421;3272;
Бургас;196582;50831;79553;32055;5168;1275;2878;7915;16907;
Камено;9545;1955;4307;1487;425;86;46;104;1135;
Карнобат;20840;4870;9432;3418;668;109;212;408;1723;
Малко Търново;2628;233;1404;533;127;32;35;24;240;
Несебър;23760;6560;9133;3309;459;92;215;889;3103;
Поморие;25406;5298;11810;3652;665;158;270;755;2798;
Приморско;5618;1513;2299;917;187;35;62;111;494;
Руен;26385;4791;15530;2936;751;120;263;725;1269;
Созопол;11984;2359;5121;1787;345;75;220;1179;898;
Средец;13145;3250;5957;1989;394;93;81;218;1163;
Сунгурларе;10583;1951;5809;1538;268;27;100;184;706;
Царево;8329;1658;4120;1262;212;54;119;261;643;
Сливен;172690;42172;70642;27309;5474;1092;1809;3776;20416;
Котел;15919;3621;7204;2368;658;118;229;204;1517;
Нова Загора;30569;5690;13807;5307;1030;174;287;781;3493;
Сливен;112890;29602;43349;17735;3401;731;1227;2532;14313;
Твърдица;13312;3259;6282;1899;385;69;66;259;1093;
Стара Загора;296507;67363;127363;50217;8962;1837;3754;8923;28088;
Братя Даскалови;7266;1982;3141;1344;245;43;23;77;411;
Гурково;4420;699;2081;705;182;30;61;174;488;
Гълъбово;10967;1931;5829;1984;343;59;101;157;563;
Казанлък;65721;14836;29004;11223;2132;452;716;1944;5414;
Мъглиж;9992;1851;4892;1694;397;59;43;122;934;
Николаево;4194;889;2135;592;146;20;25;34;353;
Опан;2418;382;976;699;99;20;26;26;190;
Павел баня;12594;2614;6422;1840;386;69;171;284;808;
Раднево;16585;3327;7688;3057;496;119;163;362;1373;
Стара Загора;144213;34368;57790;23985;3954;843;2270;5344;15659;
Чирпан;18137;4484;7405;3094;582;123;155;399;1895;
Ямбол;109693;24736;43045;20287;4609;968;1251;2585;12212;
Болярово;3118;545;1363;714;204;29;47;31;185;
Елхово;13272;3024;5906;2410;564;113;110;211;934;
Стралджа;10370;2948;3329;1750;427;77;94;156;1589;
Тунджа;21167;4643;8372;4796;1227;270;210;322;1327;
Ямбол;61766;13576;24075;10617;2187;479;790;1865;8177;
Югозападна и Южна централна България;3337741;815250;1344900;517876;98292;20704;40224;123092;377403;
Югозападен;2024404;512553;773190;298890;55703;12239;26935;84343;260551;
Благоевград;292227;54714;148373;46315;8313;1635;3966;8392;20519;
Банско;12722;3066;6128;1934;365;96;169;340;624;
Белица;9206;1994;5295;1072;134;18;216;107;370;
Благоевград;69078;15829;31368;10682;1838;385;905;2370;5701;
Гоце Делчев;29383;6586;14800;4364;658;168;227;776;1804;
Гърмен;14861;3293;8919;1634;268;39;80;137;491;
Кресна;4546;513;2364;1012;235;63;68;101;190;
Петрич;47939;5676;24261;7576;1729;285;906;2307;5199;
Разлог;18910;4150;9210;3270;535;90;206;431;1018;
Сандански;35885;5420;18395;6143;1068;230;541;1146;2942;
Сатовча;13422;1994;7661;2608;387;66;129;109;468;
Симитли;13200;2545;7140;2134;366;69;201;154;591;
Струмяни;4634;384;2565;777;247;47;174;53;387;
Хаджидимово;8860;1908;4971;1283;182;39;51;139;287;
Якоруда;9581;1356;5296;1826;301;40;93;222;447;
Кюстендил;111736;26700;50374;21994;4697;967;1249;2979;2776;
Бобов дол;6862;2317;1367;2569;243;74;99;126;67;
Бобошево;2348;384;1044;647;118;17;59;49;30;
Дупница;37795;9944;16718;6966;1368;273;404;1133;989;
Кочериново;4260;1319;1977;535;265;55;19;52;38;
Кюстендил;49080;10503;23619;8926;2194;465;532;1313;1528;
Невестино;1824;186;763;574;197;31;17;25;31;
Рила;2442;389;1550;390;27;2;15;42;27;
Сапарева баня;6691;1601;3127;1287;262;46;88;219;61;
Трекляно;434;57;209;100;23;4;16;20;5;
Перник;114162;26731;51342;22154;5360;1061;1466;4048;2000;
Брезник;5800;1179;2768;1193;348;80;60;107;65;
Земен;2013;287;864;530;227;34;15;43;13;
Ковачевци;1262;229;530;341;98;18;10;20;16;
Перник;84347;20689;37654;15759;3719;708;1078;3273;1467;
Радомир;17238;3734;7826;3551;758;164;269;550;386;
Трън;3502;613;1700;780;210;57;34;55;53;
София;231989;54760;101020;37536;7609;1478;2732;8194;18660;
Антон;1464;478;557;238;87;27;16;24;37;
Божурище;9463;2173;4198;1593;308;77;159;479;476;
Ботевград;31238;7032;14058;4963;928;166;368;1316;2407;
Годеч;4927;1004;2264;1030;243;45;41;107;193;
Горна Малина;6175;1075;3286;1109;221;26;70;106;282;
Долна баня;4248;1122;1820;651;131;20;61;148;295;
Драгоман;4613;1091;1878;993;213;43;50;85;260;
Елин Пелин;23104;6870;9023;3349;612;102;290;971;1887;
Етрополе;10888;2669;4463;2356;484;90;117;189;520;
Златица;4966;1069;2176;864;211;48;82;166;350;
Ихтиман;17397;5934;5790;1927;348;76;129;333;2860;
Копривщица;1957;495;875;348;82;15;23;68;51;
Костенец;11062;1810;6331;1592;294;61;99;281;594;
Костинброд;17824;4666;7458;2942;568;121;250;614;1205;
Мирково;2337;568;914;440;105;33;25;144;108;
Пирдоп;7281;1936;3118;1229;245;50;90;225;388;
Правец;7131;1989;2931;1155;267;41;75;167;506;
Самоков;34864;5848;16339;5103;1027;201;353;1432;4561;
Своге;19427;4024;8601;3420;732;111;336;991;1212;
Сливница;8987;2165;3831;1769;393;103;80;284;362;
Чавдар;1180;263;554;228;52;12;12;23;36;
Челопеч;1456;479;555;237;58;10;6;41;70;
София (столица);1274290;349648;422081;170891;29724;7098;17522;60730;216596;
Столична;1274290;349648;422081;170891;29724;7098;17522;60730;216596;
Южен централен;1313337;302697;571710;218986;42589;8465;13289;38749;116852;
Кърджали;141177;24245;67868;24257;4865;895;1313;4041;13693;
Ардино;11318;1761;5411;2261;462;81;72;287;983;
Джебел;8375;1284;3962;1592;397;80;60;137;863;
Кирково;20442;2362;10953;4252;588;74;154;426;1633;
Крумовград;16909;3362;8067;3139;610;81;179;264;1207;
Кърджали;62005;11678;28628;9506;1890;346;724;2460;6773;
