;брой;брой;брой;брой;брой;брой;брой;брой;брой;брой;брой;брой;
;2011;2011;2011;2011;2011;2011;2021;2021;2021;2021;2021;2021;
;Общо;Висше образование;Средно образование;Основно;Начално и по-ниско образование;Дете до 7 години вкл., което още не посещава училище;Общо;Висше образование;Средно образование;Основно;Начално и по-ниско образование;Дете до 7 години вкл., което още не посещава училище;
Варна;440803;104528;190434;88685;56295;861;403335;123625;181899;55848;41766;197;
Аврен;7851;624;2480;2791;1948;8;7819;1234;3376;1961;1246;2;
Аксаково;18814;1864;7266;6365;3268;51;18155;3020;8701;4398;2027;9;
Белослав;10248;703;4793;3384;1353;15;9254;1058;5174;2103;918;1;
Бяла;3006;235;1120;843;804;4;2833;444;1330;622;437;-;
Варна;319276;96060;147699;46575;28384;558;297903;111414;133251;27449;25639;150;
Ветрино;5183;260;1843;2111;966;3;4337;385;2178;1313;461;-;
Вълчи дол;9486;531;2815;3608;2506;26;7172;627;3234;2099;1208;4;
Девня;8058;311;3405;2903;1418;21;6759;508;3617;1759;870;5;
Долни чифлик;17573;857;4973;6378;5293;72;14511;1160;5591;4590;3157;13;
Дългопол;13302;675;3377;5228;3982;40;11461;868;4232;4095;2264;2;
Провадия;21331;1986;8274;6269;4757;45;17067;2194;8239;3975;2650;9;
Суворово;6675;422;2389;2230;1616;18;6064;713;2976;1484;889;2;
Добрич;177216;24293;68038;50880;33596;409;141744;26454;65099;31073;19018;100;
Балчик;18894;2143;7057;5502;4147;45;15063;2755;7004;3304;1989;11;
Генерал Тошево;14237;1118;4580;4996;3513;30;10563;1313;4489;3003;1752;6;
Добрич-селска;20534;676;4993;8606;6189;70;15696;1132;5880;5554;3120;10;
Добрич;85242;17058;39288;19075;9652;169;69917;17472;35201;10825;6389;30;
Каварна;14343;1707;5315;3779;3506;36;12521;1961;5420;2709;2399;32;
Крушари;4198;145;836;1698;1508;11;2932;117;907;1104;802;2;
Тервел;14934;971;3951;5665;4303;44;11206;1077;4229;3684;2208;8;
Шабла;4834;475;2018;1559;778;4;3846;627;1969;890;359;1;
Търговище;112939;12987;41887;36341;21460;264;92613;14335;42162;24117;11894;105;
Антоново;5840;302;1616;1975;1935;12;4369;315;1689;1441;917;7;
Омуртаг;20349;1254;5588;8108;5347;52;15408;1417;5597;5756;2628;10;
Опака;6253;269;1916;2798;1259;11;5190;339;2206;2086;555;4;
Попово;27103;3115;10986;8685;4268;49;21655;3330;10858;5019;2418;30;
Търговище;53394;8047;21781;14775;8651;140;45991;8934;21812;9815;5376;54;
Шумен;168791;24538;64319;49475;30121;338;142810;26861;63960;33385;18515;89;
Велики Преслав;12596;1292;4816;4055;2414;19;9958;1434;4946;2384;1188;6;
Венец;6616;195;1359;3079;1969;14;5783;295;1940;2506;1041;1;
Върбица;9513;348;2109;3994;3044;18;7278;461;2269;2916;1628;4;
Каолиново;11168;364;2268;5199;3295;42;9875;516;3348;4011;1997;3;
Каспичан;7463;528;2644;2643;1618;30;5979;627;2754;1592;1003;3;
Никола Козлево;5531;156;1113;2293;1942;27;4862;219;1469;1943;1227;4;
Нови пазар;15808;1633;6297;4673;3162;43;13847;1773;6639;3426;1997;12;
Смядово;6301;347;2008;2486;1455;5;5232;479;2260;1627;861;5;
Хитрино;5913;163;1458;2741;1541;10;5444;245;2174;2231;792;2;
Шумен;87882;19512;40247;18312;9681;130;74552;20812;36161;10749;6781;49;
Югоизточен;1000815;160682;419102;247541;170900;2590;893262;188545;417051;163325;123596;745;
Бургас;385224;67759;162079;96004;58387;995;355158;83022;164680;64008;43158;290;
Айтос;26378;2683;10084;8407;5133;71;23654;3291;10481;6144;3687;51;
Бургас;198064;49777;94142;33977;19735;433;183743;58280;88618;19696;17080;69;
Камено;9627;480;3241;3619;2260;27;8961;831;4194;2465;1450;21;
Карнобат;23673;2738;9086;7091;4683;75;19437;3008;9295;4324;2788;22;
Малко Търново;3539;346;1249;1160;778;6;2501;329;1162;652;357;1;
Несебър;20577;3162;9871;4766;2718;60;22155;5252;11192;3191;2501;19;
Поморие;25549;2917;9943;7805;4800;84;23756;4244;10844;5417;3219;32;
Приморско;5645;639;2434;1561;1002;9;5285;921;2693;1117;553;1;
Руен;26488;731;5835;12855;6974;93;24507;1188;7803;10609;4870;37;
Созопол;11731;1385;4555;3887;1872;32;11288;1981;5495;2582;1221;9;
Средец;13690;1231;4962;4049;3413;35;12246;1485;5524;2809;2422;6;
Сунгурларе;11639;643;3087;4540;3329;40;9817;792;3539;3411;2056;19;
Царево;8624;1027;3590;2287;1690;30;7808;1420;3840;1591;954;3;
Сливен;181108;23565;65533;47818;43576;616;158224;25998;64904;34850;32218;254;
Котел;17826;936;4160;6595;6051;84;14748;1182;4784;5188;3583;11;
Нова Загора;35973;3829;12183;10887;8958;116;28164;4023;11870;6877;5274;120;
Сливен;114908;17916;45347;27105;24181;359;103478;19789;44357;19976;19247;109;
Твърдица;12401;884;3843;3231;4386;57;11834;1004;3893;2809;4114;14;
Стара Загора;311615;52102;140936;71091;46785;701;277341;60593;137514;44664;34449;121;
Братя Даскалови;8132;418;2504;3031;2165;14;6717;526;2664;2156;1368;3;
Гурково;4681;251;1540;1316;1550;24;3972;318;1631;935;1074;14;
Гълъбово;12606;790;5369;4297;2128;22;10326;926;5757;2487;1156;-;
Казанлък;67970;11147;34422;13844;8392;165;61856;13197;33293;8913;6416;37;
Мъглиж;9351;585;3384;2316;3032;34;9196;818;3796;2102;2475;5;
Николаево;3814;153;1272;951;1396;42;3703;210;1351;774;1366;2;
Опан;2836;81;816;1326;607;6;2335;130;1118;817;270;-;
Павел баня;13090;823;4762;4126;3355;24;11682;1104;5165;3090;2313;10;
Раднево;18917;1642;8629;5710;2892;44;15610;2086;8765;3098;1659;2;
Стара Загора;150019;34018;70351;28112;17267;271;135073;38956;66331;16135;13609;42;
Чирпан;20199;2194;7887;6062;4001;55;16871;2322;7643;4157;2743;6;
Ямбол;122868;17256;50554;32628;22152;278;102539;18932;49953;19803;13771;80;
Болярово;3931;211;1163;1474;1078;5;2933;271;1216;910;535;1;
Елхово;15327;1571;5983;5002;2747;24;12529;1735;6324;2942;1524;4;
Стралджа;11710;706;3413;3854;3695;42;9507;771;3684;2788;2249;15;
Тунджа;22861;1225;7662;8650;5281;43;19888;1897;9485;5541;2958;7;
Ямбол;69039;13543;32333;13648;9351;164;57682;14258;29244;7622;6505;53;
Югозападна и Южна централна България;3380986;770834;1483019;703200;417008;6925;3122917;910397;1434996;458248;317786;1490;
Югозападен;1997245;552809;910549;339189;190886;3812;1891182;653012;855337;215438;166530;865;
Благоевград;301581;42199;131728;80883;46155;616;273310;51978;135496;54488;31271;77;
Банско;12318;1982;5598;3245;1479;14;11914;2842;6134;1817;1115;6;
Белица;9011;682;2545;3515;2251;18;8632;957;3374;2813;1486;2;
Благоевград;72640;17247;36830;12225;6193;145;64448;19777;32059;7163;5436;13;
Гоце Делчев;28927;3769;11747;9143;4227;41;27325;4824;12816;6702;2972;11;
Гърмен;13544;721;4070;5393;3325;35;13610;1260;5590;4301;2448;11;
Кресна;5173;378;2270;1609;904;12;4331;560;2332;978;461;-;
Петрич;50487;5809;22240;13424;8894;120;44841;7125;23331;8746;5637;2;
Разлог;19197;2755;9059;4773;2572;38;17759;3324;9275;3277;1881;2;
Сандански;37879;5046;17804;8981;5972;76;33659;6076;18554;5193;3825;11;
Сатовча;14288;1031;5227;5418;2566;46;12632;1365;5786;3903;1570;8;
Симитли;13330;947;5506;4748;2097;32;12388;1490;6141;3320;1433;4;
