;процент;процент;процент;процент;процент;процент;процент;процент;процент;
;Коефициенти на икономическа активност;Коефициенти на икономическа активност;Коефициенти на икономическа активност;Коефициенти на заетост;Коефициенти на заетост;Коефициенти на заетост;Коефициенти на безработица;Коефициенти на безработица;Коефициенти на безработица;
;Общо;Мъже;Жени;Общо;Мъже;Жени;Общо;Мъже;Жени;
Рила;42.4;45.4;39.4;36.6;39.9;33.3;13.7;12.0;15.5;
Сапарева баня;48.9;52.3;45.7;44.1;47.0;41.5;9.8;10.3;9.3;
Трекляно;31.3;33.5;28.9;28.0;30.1;25.8;10.4;10.1;10.7;
Перник;52.8;56.1;49.7;47.4;49.8;45.3;10.1;11.3;8.8;
Брезник;42.4;46.7;38.4;37.8;41.0;34.8;10.9;12.1;9.5;
Земен;36.4;42.5;30.5;31.8;36.9;26.8;12.8;13.2;12.2;
Ковачевци;33.5;39.3;27.8;28.0;32.1;24.0;16.4;18.3;13.7;
Перник;55.5;58.6;52.8;50.6;52.8;48.7;8.8;9.8;7.7;
Радомир;48.9;53.2;44.9;43.2;46.5;40.2;11.7;12.7;10.6;
Трън;42.0;46.1;38.0;26.6;27.4;25.8;36.7;40.6;32.2;
София;52.2;56.4;48.2;47.6;51.4;44.1;8.7;8.9;8.4;
Антон;49.3;53.5;45.2;44.9;49.4;40.4;9.0;7.6;10.6;
Божурище;57.6;60.7;54.7;54.4;57.1;51.8;5.6;5.9;5.2;
Ботевград;52.2;55.5;49.3;46.8;49.3;44.4;10.5;11.1;9.9;
Годеч;46.8;50.6;43.1;43.7;47.2;40.4;6.6;6.7;6.4;
Горна Малина;52.2;57.4;46.9;49.5;54.3;44.5;5.2;5.3;5.1;
Долна баня;54.9;59.8;50.2;38.3;43.0;33.9;30.2;28.1;32.6;
Драгоман;43.5;47.1;40.1;41.8;45.0;38.7;4.1;4.6;3.5;
Елин Пелин;55.9;60.0;52.1;53.1;56.9;49.6;5.0;5.1;4.8;
Етрополе;53.8;57.0;50.8;47.5;49.7;45.4;11.7;12.8;10.6;
Златица;52.6;57.5;48.0;49.7;54.6;45.1;5.6;5.2;6.0;
Ихтиман;43.8;50.0;37.8;41.4;47.5;35.4;5.7;5.1;6.3;
Копривщица;45.5;48.8;42.2;42.9;46.1;39.9;5.6;5.6;5.5;
Костенец;55.1;61.3;49.4;47.5;52.4;42.9;13.9;14.5;13.3;
Костинброд;58.1;62.2;54.3;54.7;58.0;51.6;5.8;6.6;5.0;
Мирково;43.4;48.7;38.1;42.0;47.7;36.4;3.1;2.0;4.6;
Пирдоп;57.2;63.1;51.8;53.1;59.3;47.4;7.2;6.1;8.4;
