;брой;брой;брой;брой;брой;брой;брой;брой;брой;
;2021;2021;2021;2021;2021;2021;2021;2021;2021;
;Общо;Християнско;Мюсюлманско;Юдейско;Друго;Нямам;Не мога да определя;Не желая да отговоря;Непоказано;
BGS17 Поморие;25406;14603;4360;13;13;1327;883;1409;2798;
BGS27 Приморско;5618;4049;35;-;6;372;281;381;494;
BGS18 Руен;26385;1009;21753;7;-;1271;419;657;1269;
BGS21 Созопол;11984;8216;148;2;5;882;655;1178;898;
BGS06 Средец;13145;9692;81;2;3;904;625;675;1163;
BGS23 Сунгурларе;10583;4142;3404;5;1;1548;432;345;706;
BGS13 Царево;8329;5520;19;-;2;747;341;1057;643;
SLV Сливен;172690;103380;11341;21;79;15271;10481;11701;20416;
SLV11 Котел;15919;5653;4414;5;2;1291;1757;1280;1517;
SLV16 Нова Загора;30569;18425;2837;4;8;1899;1549;2354;3493;
SLV20 Сливен;112890;69746;3109;12;69;11250;6733;7658;14313;
SLV24 Твърдица;13312;9556;981;-;-;831;442;409;1093;
SZR Стара Загора;296507;203134;11899;57;171;16013;14612;22533;28088;
SZR04 Братя Даскалови;7266;5370;261;1;1;488;431;303;411;
SZR37 Гурково;4420;2429;131;-;-;263;450;659;488;
SZR07 Гълъбово;10967;8153;45;1;4;807;459;935;563;
SZR12 Казанлък;65721;44866;5482;16;32;2782;2965;4164;5414;
SZR22 Мъглиж;9992;6686;195;4;2;709;953;509;934;
SZR38 Николаево;4194;2362;156;1;-;258;624;440;353;
SZR23 Опан;2418;1748;12;-;-;36;80;352;190;
SZR24 Павел баня;12594;5430;3870;-;1;898;932;655;808;
SZR27 Раднево;16585;11462;121;2;8;1185;953;1481;1373;
SZR31 Стара Загора;144213;102139;1107;32;121;7342;5803;12010;15659;
SZR36 Чирпан;18137;12489;519;-;2;1245;962;1025;1895;
JAM Ямбол;109693;74718;899;15;35;9459;4668;7687;12212;
JAM03 Болярово;3118;2067;18;-;2;520;163;163;185;
JAM07 Елхово;13272;9188;18;-;3;1631;604;894;934;
JAM22 Стралджа;10370;6487;62;-;2;1134;573;523;1589;
JAM25 Тунджа;21167;15171;32;3;7;1648;948;2031;1327;
JAM26 Ямбол;61766;41805;769;12;21;4526;2380;4076;8177;
BG4 Югозападна и Южна централна България;3337741;2160685;288462;1266;4580;125873;121605;257867;377403;
BG41 Югозападен;2024404;1393678;63418;992;3830;83256;67183;151496;260551;
BLG Благоевград;292227;196841;52958;46;127;3925;6648;11163;20519;
BLG01 Банско;12722;10628;593;3;8;174;185;507;624;
BLG02 Белица;9206;1693;6990;-;-;27;75;51;370;
BLG03 Благоевград;69078;55551;484;17;51;1600;1697;3977;5701;
BLG11 Гоце Делчев;29383;17142;9221;4;6;104;395;707;1804;
BLG13 Гърмен;14861;2903;10456;5;-;156;420;430;491;
BLG28 Кресна;4546;4185;10;-;-;32;51;78;190;
BLG33 Петрич;47939;38959;257;-;9;883;975;1657;5199;
BLG37 Разлог;18910;15422;120;1;37;384;963;965;1018;
BLG40 Сандански;35885;30064;129;8;11;322;793;1616;2942;
BLG42 Сатовча;13422;861;11731;-;3;51;119;189;468;
BLG44 Симитли;13200;10139;1405;1;1;86;600;377;591;
BLG49 Струмяни;4634;3793;2;-;-;38;174;240;387;
BLG52 Хаджидимово;8860;4384;3838;4;1;40;149;157;287;
BLG53 Якоруда;9581;1117;7722;3;-;28;52;212;447;
KNL Кюстендил;111736;96474;107;20;44;3662;3501;5152;2776;
KNL04 Бобов дол;6862;6055;37;-;2;139;283;279;67;
KNL05 Бобошево;2348;2226;1;-;-;16;34;41;30;
KNL48 Дупница;37795;32219;22;10;19;878;1602;2056;989;
KNL27 Кочериново;4260;4021;7;-;-;15;42;137;38;
KNL29 Кюстендил;49080;41535;30;10;22;2477;1328;2150;1528;
KNL31 Невестино;1824;1618;-;-;1;81;53;40;31;
KNL38 Рила;2442;2301;8;-;-;12;49;45;27;
KNL41 Сапарева баня;6691;6113;2;-;-;43;96;376;61;
KNL50 Трекляно;434;386;-;-;-;1;14;28;5;
PER Перник;114162;97117;165;10;70;4349;3919;6532;2000;
PER08 Брезник;5800;5033;2;-;-;311;174;215;65;
PER19 Земен;2013;1767;7;-;-;103;54;69;13;
PER22 Ковачевци;1262;1174;-;-;1;26;18;27;16;
PER32 Перник;84347;71222;96;9;62;3215;3091;5185;1467;
PER36 Радомир;17238;15034;47;1;6;477;418;869;386;
PER51 Трън;3502;2887;13;-;1;217;164;167;53;
SFO София;231989;177956;360;15;102;7713;8904;18279;18660;
SFO54 Антон;1464;1221;4;-;1;47;69;85;37;
SFO06 Божурище;9463;7490;37;1;10;335;398;716;476;
SFO07 Ботевград;31238;22929;16;2;12;1460;1025;3387;2407;
SFO09 Годеч;4927;4118;5;-;1;128;211;271;193;
SFO10 Горна Малина;6175;4842;7;-;1;161;423;459;282;
SFO59 Долна баня;4248;3507;3;-;-;96;230;117;295;
SFO16 Драгоман;4613;3714;3;1;3;332;164;136;260;
SFO17 Елин Пелин;23104;17622;48;1;15;778;679;2074;1887;
SFO18 Етрополе;10888;8604;5;1;5;271;515;967;520;
SFO47 Златица;4966;3952;21;-;1;195;175;272;350;
SFO20 Ихтиман;17397;10665;31;1;3;1009;1372;1456;2860;
SFO24 Копривщица;1957;1775;1;-;-;31;22;77;51;
SFO25 Костенец;11062;9302;4;1;-;141;205;815;594;
SFO26 Костинброд;17824;14288;45;-;16;388;496;1386;1205;
SFO56 Мирково;2337;1949;9;-;-;46;165;60;108;
SFO55 Пирдоп;7281;5958;35;-;1;131;404;364;388;
SFO34 Правец;7131;5280;12;-;4;400;444;485;506;
SFO39 Самоков;34864;26158;32;1;15;636;981;2480;4561;
SFO43 Своге;19427;15265;18;5;13;482;572;1860;1212;
SFO45 Сливница;8987;7319;19;1;-;316;305;665;362;
SFO57 Чавдар;1180;978;-;-;-;44;29;93;36;
SFO58 Челопеч;1456;1020;5;-;1;286;20;54;70;
SOF София (столица);1274290;825290;9828;901;3487;63607;44211;110370;216596;
