;;Събития (опасности);Събития (опасности);Събития (опасности);Загинали лица;Загинали лица;Загинали лица;Пострадали лица;Пострадали лица;Пострадали лица;
Благоевград;85530 Нашествие на вредители;0;0;0;0;0;0;0;0;0;
Благоевград;85531 нашествие на насекоми;0;0;0;0;0;0;0;0;0;
Благоевград;85532 нашествие на други вредители;0;0;0;0;0;0;0;0;0;
Благоевград;85601 Космически явления;0;0;0;0;0;0;0;0;0;
Благоевград;85610 Сблъсък;0;0;0;0;0;0;0;0;0;
Благоевград;85611 метеоритен удар;0;0;0;0;0;0;0;0;0;
Благоевград;85612 въздушен взрив;0;0;0;0;0;0;0;0;0;
Благоевград;85620 Космическа буря;0;0;0;0;0;0;0;0;0;
Благоевград;85621 енергийни частици;0;0;0;0;0;0;0;0;0;
Благоевград;85622 геомагнитна буря;0;0;0;0;0;0;0;0;0;
Благоевград;85623 шокова вълна;0;0;0;0;0;0;0;0;0;
Благоевград;85701 Техногенни;543;533;573;21;24;33;397;394;442;
Благоевград;85710 Промишлена авария;33;25;37;0;0;0;0;0;0;
Благоевград;85711 химически разлив;0;0;0;0;0;0;0;0;0;
Благоевград;85712 срутване;0;0;0;0;0;0;0;0;0;
Благоевград;85713 експлозия;0;0;0;0;0;0;0;0;0;
Благоевград;85714 пожар;33;25;36;0;0;0;0;0;0;
Благоевград;85715 теч на газ;0;0;1;0;0;0;0;0;0;
Благоевград;85716 отравяне;0;0;0;0;0;0;0;0;0;
Благоевград;85717 радиация;0;0;0;0;0;0;0;0;0;
Благоевград;85718 нефтен разлив;0;0;0;0;0;0;0;0;0;
Благоевград;85719 други (промишлени);0;0;0;0;0;0;0;0;0;
Благоевград;85720 Други аварии (непромишлени);236;212;221;7;1;5;7;3;6;
Благоевград;85721 срутване (непромишлено);0;0;0;0;0;0;0;0;0;
Благоевград;85722 експлозия (непромишлена);0;0;0;0;0;0;0;0;0;
Благоевград;85723 пожар (непромишлен);236;212;221;7;1;5;7;3;6;
Благоевград;85724 други (непромишлени);0;0;0;0;0;0;0;0;0;
Благоевград;85730 Транспортнаи аварии/инциденти;274;296;315;14;23;28;390;391;436;
Благоевград;85731 въздухоплавателни;0;0;0;0;0;0;0;0;0;
Благоевград;85732 пътни;274;295;313;14;23;26;390;390;435;
Благоевград;85733 железопътни;0;1;2;0;0;2;0;1;1;
Благоевград;85734 воднотранспортни;0;0;0;0;0;0;0;0;0;
Благоевград;85801 Други бедствия и кризи;0;2;1;0;0;0;0;0;0;
Благоевград;85810 Деградиране на околната среда;0;0;0;0;0;0;0;0;0;
Благоевград;85811 деградация на почвите (почвена ерозия);0;0;0;0;0;0;0;0;0;
Благоевград;85812 обезлесяване;0;0;0;0;0;0;0;0;0;
Благоевград;85813 други, свързани с деградиране на околната среда;0;0;0;0;0;0;0;0;0;
Благоевград;85820 Други, в т.ч.;0;2;1;0;0;0;0;0;0;
Благоевград;85821 Размирици, терористични актове, етнически конфликти, кибератаки;0;0;0;0;0;0;0;0;0;
Благоевград;85822 Социални или икономически кризи;0;0;0;0;0;0;0;0;0;
Благоевград;85823 Други неизброени;0;2;1;0;0;0;0;0;0;
Бургас;85001 БЕДСТВИЯ И КРИЗИСНИ СЪБИТИЯ - ОБЩО;819;901;899;1456;624;39;552;567;609;
Бургас;85101 Геофизични;0;1;2;0;0;0;0;0;0;
Бургас;85110 Земетресения;0;0;0;0;0;0;0;0;0;
Бургас;85111 движение на земни пластове;0;0;0;0;0;0;0;0;0;
Бургас;85112 цунами;0;0;0;0;0;0;0;0;0;
Бургас;85120 Движение на маси (сухо);0;1;2;0;0;0;0;0;0;
Бургас;85121 срутище;0;0;0;0;0;0;0;0;0;
Бургас;85122 свлачище;0;1;2;0;0;0;0;0;0;
Бургас;85123 пропадане на земята или слягане;0;0;0;0;0;0;0;0;0;
Бургас;85130 Вулканична дейност;0;0;0;0;0;0;0;0;0;
Бургас;85131 вулканична пепел;0;0;0;0;0;0;0;0;0;
Бургас;85132 лахар;0;0;0;0;0;0;0;0;0;
Бургас;85133 пирокластичен поток;0;0;0;0;0;0;0;0;0;
Бургас;85134 лава;0;0;0;0;0;0;0;0;0;
Бургас;85201 Метеорологични;5;4;9;0;0;0;0;0;0;
Бургас;85210 Буря;4;4;8;0;0;0;0;0;0;
Бургас;85211 градушка;0;0;1;0;0;0;0;0;0;
Бургас;85212 светкавица/гръмотевична буря;0;0;0;0;0;0;0;0;0;
Бургас;85213 обилен дъжд;4;2;6;0;0;0;0;0;0;
Бургас;85214 смерч (торнадо);0;0;0;0;0;0;0;0;0;
Бургас;85215 пясъчна/прашна буря;0;0;0;0;0;0;0;0;0;
Бургас;85216 силна буря;0;1;1;0;0;0;0;0;0;
Бургас;85217 вятър;0;1;0;0;0;0;0;0;0;
Бургас;85220 Екстремни температури;1;0;1;0;0;0;0;0;0;
Бургас;85221 студена вълна (в т.ч. слани);1;0;0;0;0;0;0;0;0;
Бургас;85222 топлинна вълна;0;0;1;0;0;0;0;0;0;
Бургас;85230 Сурови зимни условия;0;0;0;0;0;0;0;0;0;
Бургас;85231 сняг/лед;0;0;0;0;0;0;0;0;0;
Бургас;85232 зимна буря/виелица;0;0;0;0;0;0;0;0;0;
Бургас;85233 мраз/скреж;0;0;0;0;0;0;0;0;0;
Бургас;85240 Мъгла;0;0;0;0;0;0;0;0;0;
Бургас;85301 Хидроложки;11;7;2;0;0;4;0;0;0;
Бургас;85310 Наводнение;11;7;2;0;0;4;0;0;0;
Бургас;85311 дъждовно;10;2;2;0;0;4;0;0;0;
Бургас;85312 инфраструктурно;0;4;0;0;0;0;0;0;0;
Бургас;85313 морско;0;0;0;0;0;0;0;0;0;
Бургас;85314 от подземни води;0;0;0;0;0;0;0;0;0;
Бургас;85315 речно;1;1;0;0;0;0;0;0;0;
Бургас;85320 Лавина;0;0;0;0;0;0;0;0;0;
Бургас;85330 Кален поток;0;0;0;0;0;0;0;0;0;
Бургас;85401 Климатоложки;25;54;70;0;0;0;0;0;0;
Бургас;85410 Суша;0;0;0;0;0;0;0;0;0;
Бургас;85420 Стихиен пожар;25;54;70;0;0;0;0;0;0;
Бургас;85421 горски пожар;3;13;20;0;0;0;0;0;0;
Бургас;85422 полски пожар: храсти, шубраци, пасища, торф;22;41;50;0;0;0;0;0;0;
Бургас;85501 Биологични;1;1;0;1420;586;0;0;.;0;
Бургас;85510 Инфекциозни заболявания при хората;1;1;0;1420;586;0;0;.;0;
Бургас;85511 вирусна болест;1;1;0;1420;586;0;0;.;0;
Бургас;85512 бактериална болест;0;0;0;0;0;0;0;0;0;
Бургас;85513 паразитна болест;0;0;0;0;0;0;0;0;0;
Бургас;85514 гъбична болест;0;0;0;0;0;0;0;0;0;
Бургас;85520 Инфекциозни и зоонозни болести по животните;0;0;0;0;0;0;0;0;0;
Бургас;85521 вирусна болест;0;0;0;0;0;0;0;0;0;
Бургас;85522 бактериална болест;0;0;0;0;0;0;0;0;0;
Бургас;85523 паразитна болест;0;0;0;0;0;0;0;0;0;
Бургас;85524 гъбична болест;0;0;0;0;0;0;0;0;0;
Бургас;85525 прионова болест;0;0;0;0;0;0;0;0;0;
Бургас;85530 Нашествие на вредители;0;0;0;0;0;0;0;0;0;
Бургас;85531 нашествие на насекоми;0;0;0;0;0;0;0;0;0;
Бургас;85532 нашествие на други вредители;0;0;0;0;0;0;0;0;0;
Бургас;85601 Космически явления;0;0;0;0;0;0;0;0;0;
Бургас;85610 Сблъсък;0;0;0;0;0;0;0;0;0;
Бургас;85611 метеоритен удар;0;0;0;0;0;0;0;0;0;
Бургас;85612 въздушен взрив;0;0;0;0;0;0;0;0;0;
Бургас;85620 Космическа буря;0;0;0;0;0;0;0;0;0;
Бургас;85621 енергийни частици;0;0;0;0;0;0;0;0;0;
Бургас;85622 геомагнитна буря;0;0;0;0;0;0;0;0;0;
Бургас;85623 шокова вълна;0;0;0;0;0;0;0;0;0;
Бургас;85701 Техногенни;777;829;815;36;38;35;552;567;609;
Бургас;85710 Промишлена авария;18;21;19;0;0;0;1;0;0;
Бургас;85711 химически разлив;0;0;0;0;0;0;0;0;0;
Бургас;85712 срутване;0;0;0;0;0;0;0;0;0;
Бургас;85713 експлозия;0;0;0;0;0;0;0;0;0;
Бургас;85714 пожар;18;21;19;0;0;0;1;0;0;
Бургас;85715 теч на газ;0;0;0;0;0;0;0;0;0;
Бургас;85716 отравяне;0;0;0;0;0;0;0;0;0;
Бургас;85717 радиация;0;0;0;0;0;0;0;0;0;
Бургас;85718 нефтен разлив;0;0;0;0;0;0;0;0;0;
Бургас;85719 други (промишлени);0;0;0;0;0;0;0;0;0;
Бургас;85720 Други аварии (непромишлени);360;359;345;5;4;6;13;9;13;
Бургас;85721 срутване (непромишлено);0;0;0;0;0;0;0;0;0;
Бургас;85722 експлозия (непромишлена);0;0;0;0;0;0;0;0;0;
Бургас;85723 пожар (непромишлен);360;359;345;5;4;6;13;9;13;
Бургас;85724 други (непромишлени);0;0;0;0;0;0;0;0;0;
Бургас;85730 Транспортнаи аварии/инциденти;399;449;451;31;34;29;538;558;596;
Бургас;85731 въздухоплавателни;0;0;0;0;0;0;0;0;0;
Бургас;85732 пътни;396;445;450;28;32;29;538;556;595;
Бургас;85733 железопътни;3;4;1;3;2;0;0;2;1;
Бургас;85734 воднотранспортни;0;0;0;0;0;0;0;0;0;
Бургас;85801 Други бедствия и кризи;0;5;1;0;0;0;0;0;0;
Бургас;85810 Деградиране на околната среда;0;0;0;0;0;0;0;0;0;
Бургас;85811 деградация на почвите (почвена ерозия);0;0;0;0;0;0;0;0;0;
Бургас;85812 обезлесяване;0;0;0;0;0;0;0;0;0;
Бургас;85813 други, свързани с деградиране на околната среда;0;0;0;0;0;0;0;0;0;
Бургас;85820 Други, в т.ч.;0;5;1;0;0;0;0;0;0;
Бургас;85821 Размирици, терористични актове, етнически конфликти, кибератаки;0;1;1;0;0;0;0;0;0;
Бургас;85822 Социални или икономически кризи;0;3;0;0;0;0;0;0;0;
Бургас;85823 Други неизброени;0;1;0;0;0;0;0;0;0;
Варна;85001 БЕДСТВИЯ И КРИЗИСНИ СЪБИТИЯ - ОБЩО;1117;1306;1339;1725;633;44;712;836;871;
Варна;85101 Геофизични;0;4;5;0;0;0;0;0;0;
Варна;85110 Земетресения;0;1;0;0;0;0;0;0;0;
Варна;85111 движение на земни пластове;0;1;0;0;0;0;0;0;0;
Варна;85112 цунами;0;0;0;0;0;0;0;0;0;
Варна;85120 Движение на маси (сухо);0;3;5;0;0;0;0;0;0;
Варна;85121 срутище;0;0;0;0;0;0;0;0;0;
Варна;85122 свлачище;0;3;4;0;0;0;0;0;0;
Варна;85123 пропадане на земята или слягане;0;0;1;0;0;0;0;0;0;
Варна;85130 Вулканична дейност;0;0;0;0;0;0;0;0;0;
Варна;85131 вулканична пепел;0;0;0;0;0;0;0;0;0;
Варна;85132 лахар;0;0;0;0;0;0;0;0;0;
Варна;85133 пирокластичен поток;0;0;0;0;0;0;0;0;0;
Варна;85134 лава;0;0;0;0;0;0;0;0;0;
Варна;85201 Метеорологични;12;11;13;0;0;1;0;0;0;
Варна;85210 Буря;6;9;10;0;0;1;0;0;0;
Варна;85211 градушка;0;0;0;0;0;0;0;0;0;
Варна;85212 светкавица/гръмотевична буря;0;0;0;0;0;0;0;0;0;
Варна;85213 обилен дъжд;1;6;3;0;0;0;0;0;0;
Варна;85214 смерч (торнадо);1;0;0;0;0;0;0;0;0;
Варна;85215 пясъчна/прашна буря;0;0;0;0;0;0;0;0;0;
Варна;85216 силна буря;1;0;7;0;0;1;0;0;0;
Варна;85217 вятър;3;3;0;0;0;0;0;0;0;
Варна;85220 Екстремни температури;2;2;1;0;0;0;0;0;0;
Варна;85221 студена вълна (в т.ч. слани);2;2;1;0;0;0;0;0;0;
Варна;85222 топлинна вълна;0;0;0;0;0;0;0;0;0;
Варна;85230 Сурови зимни условия;4;0;2;0;0;0;0;0;0;
Варна;85231 сняг/лед;1;0;2;0;0;0;0;0;0;
Варна;85232 зимна буря/виелица;2;0;0;0;0;0;0;0;0;
Варна;85233 мраз/скреж;1;0;0;0;0;0;0;0;0;
Варна;85240 Мъгла;0;0;0;0;0;0;0;0;0;
Варна;85301 Хидроложки;0;3;2;0;0;0;0;0;0;
Варна;85310 Наводнение;0;3;2;0;0;0;0;0;0;
Варна;85311 дъждовно;0;3;2;0;0;0;0;0;0;
Варна;85312 инфраструктурно;0;0;0;0;0;0;0;0;0;
Варна;85313 морско;0;0;0;0;0;0;0;0;0;
Варна;85314 от подземни води;0;0;0;0;0;0;0;0;0;
Варна;85315 речно;0;0;0;0;0;0;0;0;0;
Варна;85320 Лавина;0;0;0;0;0;0;0;0;0;
Варна;85330 Кален поток;0;0;0;0;0;0;0;0;0;
Варна;85401 Климатоложки;11;29;26;0;0;0;0;0;0;
Варна;85410 Суша;0;0;0;0;0;0;0;0;0;
Варна;85420 Стихиен пожар;11;29;26;0;0;0;0;0;0;
Варна;85421 горски пожар;0;2;0;0;0;0;0;0;0;
Варна;85422 полски пожар: храсти, шубраци, пасища, торф;11;27;26;0;0;0;0;0;0;
Варна;85501 Биологични;1;1;0;1682;594;0;.;.;0;
Варна;85510 Инфекциозни заболявания при хората;1;1;0;1682;594;0;.;.;0;
Варна;85511 вирусна болест;1;1;0;1682;594;0;.;.;0;
Варна;85512 бактериална болест;0;0;0;0;0;0;0;0;0;
Варна;85513 паразитна болест;0;0;0;0;0;0;0;0;0;
Варна;85514 гъбична болест;0;0;0;0;0;0;0;0;0;
Варна;85520 Инфекциозни и зоонозни болести по животните;0;0;0;0;0;0;0;0;0;
Варна;85521 вирусна болест;0;0;0;0;0;0;0;0;0;
Варна;85522 бактериална болест;0;0;0;0;0;0;0;0;0;
