;2021;2021;2021;2021;2021;2021;2021;2021;
;брой;брой;брой;брой;брой;брой;брой;брой;
;Общо;Нямам;до 50%;50-70%;71-90%;Над 90%;Не желая да отговоря;Непоказано;
Николаево;3043;2537;44;109;107;68;23;155;
Опан;2176;1713;39;93;105;55;19;152;
Павел баня;10372;8739;136;347;345;198;129;478;
Раднево;14286;11717;133;413;530;257;266;970;
Стара Загора;122471;96163;1264;3485;3889;2380;4004;11286;
Чирпан;15110;12090;172;510;570;351;237;1180;
Ямбол;92055;72402;1293;3599;3662;2269;1723;7107;
Болярово;2697;2143;44;101;146;118;19;126;
Елхово;11466;9356;196;437;474;277;123;603;
Стралджа;8212;6515;99;303;289;181;80;745;
Тунджа;18145;14702;256;826;815;517;187;842;
Ямбол;51535;39686;698;1932;1938;1176;1314;4791;
Югозападна и Южна централна България;2834184;2152086;26711;108518;108446;62955;100101;275367;
Югозападен;1716001;1275138;14949;60967;65928;39082;62824;197113;
Благоевград;246745;205325;2312;7946;5883;3994;6544;14741;
Банско;10823;9297;95;331;219;145;247;489;
Белица;7586;6542;81;334;147;87;138;257;
Благоевград;58413;47913;513;1811;1519;974;1437;4246;
Гоце Делчев;24497;20791;216;758;574;392;499;1267;
Гърмен;11828;10524;106;322;193;129;239;315;
Кресна;4033;3399;49;159;105;103;65;153;
Петрич;40659;31667;381;1255;953;652;2049;3702;
Разлог;16018;13681;173;529;398;264;264;709;
Сандански;30580;24968;283;1004;829;530;921;2045;
Сатовча;11390;10076;100;355;196;164;182;317;
Симитли;11270;9670;104;380;287;197;174;458;
Струмяни;3927;3150;36;151;144;106;70;270;
Хаджидимово;7640;6873;57;179;129;117;81;204;
Якоруда;8081;6774;118;378;190;134;178;309;
Кюстендил;97121;80542;966;4306;4692;3616;2428;571;
Бобов дол;6166;5265;43;232;274;239;98;15;
Бобошево;2110;1738;36;101;107;74;47;7;
Дупница;32216;26964;347;1364;1379;854;1141;167;
Кочериново;3776;3247;37;160;160;128;36;8;
Кюстендил;42688;34829;423;1985;2285;1943;868;355;
Невестино;1733;1368;17;96;122;109;17;4;
Рила;2153;1907;9;67;75;58;35;2;
Сапарева баня;5880;4929;50;281;271;192;144;13;
Трекляно;399;295;4;20;19;19;42;-;
Перник;98196;80682;722;5084;5143;3308;2953;304;
Брезник;5160;4149;36;326;345;211;82;11;
Земен;1859;1415;12;132;156;101;42;1;
Ковачевци;1157;826;14;75;89;104;45;4;
Перник;71867;59418;550;3597;3601;2279;2199;223;
Радомир;15088;12399;88;780;750;480;538;53;
Трън;3065;2475;22;174;202;133;47;12;
София;197084;153268;2015;8462;8562;5844;6857;12076;
Антон;1265;1080;10;34;51;53;16;21;
Божурище;8028;6288;91;301;351;199;471;327;
Ботевград;26176;19792;228;1306;1153;756;1377;1564;
Годеч;4443;3566;49;198;217;179;70;164;
Горна Малина;5320;4408;53;189;225;157;78;210;
Долна баня;3416;2629;42;170;198;122;68;187;
Драгоман;4134;3369;31;155;165;145;65;204;
Елин Пелин;19471;15398;154;636;684;455;717;1427;
Етрополе;9338;7433;93;517;481;337;125;352;
Златица;4302;3537;36;127;141;113;77;271;
Ихтиман;13824;10391;139;548;472;338;352;1584;
Копривщица;1760;1439;13;84;83;58;44;39;
Костенец;9689;7808;89;433;399;315;233;412;
Костинброд;15323;12191;155;573;625;388;490;901;
Мирково;2046;1641;10;59;53;66;136;81;
Пирдоп;6279;5306;40;176;198;169;96;294;
