;брой;брой;брой;брой;брой;брой;
;2011;2011;2011;2021;2021;2021;
;Общо;Грамотни лица;Неграмотни лица;Общо;Грамотни лица;Неграмотни лица;
Столична;1188355;1184133;4222;1162838;1158504;4334;
Южен централен;1358293;1325820;32473;1207574;1188074;19500;
Кърджали;139855;132556;7299;131160;127725;3435;
Ардино;10792;10168;624;10828;10645;183;
Джебел;7484;7033;451;7872;7682;190;
Кирково;20363;19338;1025;19262;18823;439;
Крумовград;16207;15282;925;15611;15078;533;
Кърджали;61222;58673;2549;56779;55523;1256;
Момчилград;14966;14054;912;13489;12987;502;
Черноочене;8821;8008;813;7319;6987;332;
Пазарджик;251717;245093;6624;211257;208380;2877;
Батак;5755;5591;164;4560;4459;101;
Белово;8378;8309;69;6886;6873;13;
Брацигово;8876;8575;301;6861;6803;58;
Велинград;36871;35900;971;29877;29440;437;
Лесичово;4952;4832;120;4343;4294;49;
Пазарджик;104736;101523;3213;84137;82875;1262;
Панагюрище;23544;23284;260;20538;20429;109;
Пещера;17107;16447;660;13596;13328;268;
Ракитово;13457;13182;275;12145;11882;263;
Септември;23439;22881;558;19870;19598;272;
Стрелча;4602;4569;33;4090;4077;13;
Сърница;;;;4354;4322;32;
Пловдив;626810;614729;12081;579818;571001;8817;
Асеновград;59055;57581;1474;52857;51887;970;
Брезово;6798;6647;151;5771;5615;156;
Калояново;11120;10895;225;9817;9734;83;
Карлово;47793;46510;1283;42898;42109;789;
Кричим;7528;7176;352;6571;6494;77;
Куклен;5924;5795;129;5756;5690;66;
Лъки;2776;2644;132;2127;2018;109;
Марица;29474;28693;781;29178;28748;430;
Перущица;4580;4288;292;3912;3659;253;
Пловдив;309586;304848;4738;291390;287805;3585;
Първомай;24083;23498;585;20192;19940;252;
Раковски;24057;23431;626;23108;22208;900;
Родопи;30264;29994;270;30083;29766;317;
Садово;14173;13636;537;13413;13099;314;
Сопот;9090;9046;44;7781;7768;13;
Стамболийски;18856;18584;272;16372;16000;372;
Съединение;9755;9662;93;8567;8492;75;
Хисаря;11898;11801;97;10025;9969;56;
Смолян;113191;111503;1688;90556;89805;751;
Баните;4728;4638;90;3197;3170;27;
Борино;3426;3317;109;2391;2354;37;
Девин;12133;11967;166;9257;9186;71;
Доспат;8436;8366;70;7035;7000;35;
Златоград;11514;11237;277;9202;9058;144;
Мадан;11353;11111;242;9438;9360;78;
Неделино;6685;6572;113;4833;4785;48;
Рудозем;9255;9132;123;8057;8025;32;
Смолян;38418;37963;455;31518;31256;262;
Чепеларе;7243;7200;43;5628;5611;17;
Хасково;226720;221939;4781;194783;191163;3620;
Димитровград;49912;49308;604;41390;41039;351;
Ивайловград;6021;5924;97;4857;4750;107;
Любимец;9291;9049;242;8106;7991;115;
Маджарово;1585;1491;94;1388;1328;60;
Минерални бани;5477;5288;189;5143;4988;155;
Свиленград;21265;20954;311;19041;18867;174;
Симеоновград;7814;7428;386;6753;6444;309;
Стамболово;5460;5175;285;5116;4938;178;
Тополовград;10977;10827;150;8394;8285;109;
Харманли;22899;22259;640;19825;19070;755;
Хасково;86019;84236;1783;74770;73463;1307;
