;2021;2021;2021;2021;2021;2021;2021;2021;2021;2021;2021;2021;2021;2021;2021;2021;2021;2021;2021;2021;2021;2021;2021;2021;2021;2021;2021;2022;2022;2022;2022;2022;2022;2022;2022;2022;2022;2022;2022;2022;2022;2022;2022;2022;2022;2022;2022;2022;2022;2022;2022;2022;2022;2022;2023;2023;2023;2023;2023;2023;2023;2023;2023;2023;2023;2023;2023;2023;2023;2023;2023;2023;2023;2023;2023;2023;2023;2023;2023;2023;2023;2024;2024;2024;2024;2024;2024;2024;2024;2024;2024;2024;2024;2024;2024;2024;2024;2024;2024;2024;2024;2024;2024;2024;2024;2024;2024;2024;
;Общо;Общо;Общо;Урбанизирана територия;Урбанизирана територия;Урбанизирана територия;Територия на транспорта;Територия на транспорта;Територия на транспорта;Земеделска територия;Земеделска територия;Земеделска територия;Горска територия;Горска територия;Горска територия;Територия, заета от води и водни обекти;Територия, заета от води и водни обекти;Територия, заета от води и водни обекти;Защитена територия;Защитена територия;Защитена територия;Нарушена територия;Нарушена територия;Нарушена територия;Непоказано;Непоказано;Непоказано;Общо;Общо;Общо;Урбанизирана територия;Урбанизирана територия;Урбанизирана територия;Територия на транспорта;Територия на транспорта;Територия на транспорта;Земеделска територия;Земеделска територия;Земеделска територия;Горска територия;Горска територия;Горска територия;Територия, заета от води и водни обекти;Територия, заета от води и водни обекти;Територия, заета от води и водни обекти;Защитена територия;Защитена територия;Защитена територия;Нарушена територия;Нарушена територия;Нарушена територия;Непоказано;Непоказано;Непоказано;Общо;Общо;Общо;Урбанизирана територия;Урбанизирана територия;Урбанизирана територия;Територия на транспорта;Територия на транспорта;Територия на транспорта;Земеделска територия;Земеделска територия;Земеделска територия;Горска територия;Горска територия;Горска територия;Територия, заета от води и водни обекти;Територия, заета от води и водни обекти;Територия, заета от води и водни обекти;Защитена територия;Защитена територия;Защитена територия;Нарушена територия;Нарушена територия;Нарушена територия;Непоказано;Непоказано;Непоказано;Общо;Общо;Общо;Урбанизирана територия;Урбанизирана територия;Урбанизирана територия;Територия на транспорта;Територия на транспорта;Територия на транспорта;Земеделска територия;Земеделска територия;Земеделска територия;Горска територия;Горска територия;Горска територия;Територия, заета от води и водни обекти;Територия, заета от води и водни обекти;Територия, заета от води и водни обекти;Защитена територия;Защитена територия;Защитена територия;Нарушена територия;Нарушена територия;Нарушена територия;Непоказано;Непоказано;Непоказано;
;ха;км2;%;ха;км2;%;ха;км2;%;ха;км2;%;ха;км2;%;ха;км2;%;ха;км2;%;ха;км2;%;ха;км2;%;ха;км2;%;ха;км2;%;ха;км2;%;ха;км2;%;ха;км2;%;ха;км2;%;ха;км2;%;ха;км2;%;ха;км2;%;ха;км2;%;ха;км2;%;ха;км2;%;ха;км2;%;ха;км2;%;ха;км2;%;ха;км2;%;ха;км2;%;ха;км2;%;ха;км2;%;ха;км2;%;ха;км2;%;ха;км2;%;ха;км2;%;ха;км2;%;ха;км2;%;ха;км2;%;ха;км2;%;
Руен;68912.01;689.12;100.00;1846.23;18.46;2.68;1374.78;13.75;1.99;28929.69;289.30;41.98;36064.12;360.64;52.33;638.78;6.39;0.93;10.64;0.11;0.02;47.77;0.48;0.07;-;-;-;68912.01;689.12;100.00;1846.45;18.46;2.68;1385.59;13.86;2.01;28918.66;289.19;41.96;36064.12;360.64;52.33;638.78;6.39;0.93;10.64;0.11;0.02;47.77;0.48;0.07;-;-;0.00;68912.01;689.12;100.00;1846.83;18.47;2.68;1385.95;13.86;2.01;28917.54;289.18;41.96;36063.77;360.64;52.33;639.51;6.40;0.93;10.64;0.11;0.02;47.77;0.48;0.07;-;-;-;68912.01;689.12;100.00;1847.67;18.48;2.68;1386.14;13.86;2.01;28890.58;288.91;41.92;36089.70;360.90;52.37;639.51;6.40;0.93;10.64;0.11;0.02;47.77;0.48;0.07;-;-;0.00;
Созопол;47931.92;479.32;100.00;1552.27;15.52;3.24;1181.15;11.81;2.46;19564.83;195.65;40.82;23652.74;236.53;49.35;1676.67;16.77;3.50;138.41;1.38;0.29;165.84;1.66;0.35;0.00;0.00;0.00;47931.88;479.32;100.00;1573.70;15.74;3.28;1182.24;11.82;2.47;19552.11;195.52;40.79;23651.92;236.52;49.34;1676.72;16.77;3.50;138.04;1.38;0.29;157.14;1.57;0.33;0.00;0.00;0.00;47931.88;479.32;100.00;1603.16;16.03;3.34;1189.50;11.89;2.48;19525.67;195.26;40.74;23641.69;236.42;49.32;1676.96;16.77;3.50;137.75;1.38;0.29;157.14;1.57;0.33;0.00;0.00;0.00;47931.69;479.32;100.00;1614.28;16.14;3.37;1193.76;11.94;2.49;19503.33;195.03;40.69;23592.01;235.92;49.22;1678.41;16.78;3.50;158.08;1.58;0.33;191.82;1.92;0.40;0.00;0.00;0.00;
Средец;114860.54;1148.61;100.00;3291.93;32.92;2.87;2558.14;25.58;2.23;66661.78;666.62;58.04;41223.83;412.24;35.89;947.59;9.48;0.82;109.11;1.09;0.09;68.16;0.68;0.06;-;-;-;114860.54;1148.61;100.00;3296.68;32.97;2.87;2558.53;25.59;2.23;66618.52;666.19;58.00;41261.96;412.62;35.92;947.59;9.48;0.82;109.11;1.09;0.09;68.16;0.68;0.06;-;-;0.00;114860.54;1148.61;100.00;3301.56;33.02;2.87;2557.44;25.57;2.23;66614.77;666.15;58.00;41243.56;412.44;35.91;947.54;9.48;0.82;109.11;1.09;0.09;86.57;0.87;0.08;-;-;-;114860.54;1148.61;100.00;3352.15;33.52;2.92;2558.05;25.58;2.23;66588.68;665.89;57.97;41218.44;412.18;35.89;947.54;9.48;0.82;109.11;1.09;0.09;86.57;0.87;0.08;-;-;0.00;
Сунгурларе;79494.19;794.94;100.00;1800.72;18.01;2.27;1624.71;16.25;2.04;34920.13;349.20;43.93;39149.85;391.50;49.25;1899.00;18.99;2.39;59.37;0.59;0.07;40.43;0.40;0.05;-;-;-;79494.19;794.94;100.00;1797.53;17.98;2.26;1629.56;16.30;2.05;34916.54;349.17;43.92;39151.78;391.52;49.25;1899.00;18.99;2.39;59.35;0.59;0.07;40.43;0.40;0.05;-;-;0.00;79494.19;794.94;100.00;1797.53;17.98;2.26;1631.92;16.32;2.05;34914.24;349.14;43.92;39151.73;391.52;49.25;1898.99;18.99;2.39;59.35;0.59;0.07;40.43;0.40;0.05;-;-;-;79494.19;794.94;100.00;1799.71;18.00;2.26;1632.48;16.32;2.05;34913.57;349.14;43.92;39149.57;391.50;49.25;1899.08;18.99;2.39;59.35;0.59;0.07;40.43;0.40;0.05;-;-;0.00;
Царево;51277.72;512.78;100.00;1197.00;11.97;2.33;661.79;6.62;1.29;8221.37;82.21;16.03;39631.38;396.31;77.29;284.13;2.84;0.55;1263.52;12.64;2.46;18.35;0.18;0.04;0.18;0.00;0.00;51278.60;512.79;100.00;1198.61;11.99;2.34;661.66;6.62;1.29;8244.85;82.45;16.08;39603.34;396.03;77.23;284.13;2.84;0.55;1267.47;12.67;2.47;18.35;0.18;0.04;0.18;0.00;0.00;51279.21;512.79;100.00;1172.58;11.73;2.29;690.11;6.90;1.35;8241.77;82.42;16.07;39603.35;396.03;77.23;284.38;2.84;0.55;1268.12;12.68;2.47;18.35;0.18;0.04;0.56;0.01;0.00;51279.28;512.79;100.00;1175.97;11.76;2.29;692.25;6.92;1.35;8238.84;82.39;16.07;39511.14;395.11;77.05;285.41;2.85;0.56;1293.80;12.94;2.52;81.56;0.82;0.16;0.31;0.00;0.00;
Сливен;354156.29;3541.56;100.00;16119.94;161.20;4.55;9267.90;92.68;2.62;168425.33;1684.25;47.56;150100.23;1501.00;42.38;6567.56;65.68;1.85;1611.18;16.11;0.45;1358.66;13.59;0.38;705.49;7.05;0.20;354156.16;3541.56;100.00;16220.64;162.21;4.58;9358.47;93.58;2.64;168223.44;1682.23;47.50;150098.39;1500.98;42.38;6581.00;65.81;1.86;1611.18;16.11;0.45;1358.10;13.58;0.38;704.94;7.05;0.20;354156.16;3541.56;100.00;17260.97;172.61;4.87;9465.69;94.66;2.67;167692.31;1676.92;47.35;150105.74;1501.06;42.38;6577.24;65.77;1.86;1611.18;16.11;0.45;1373.00;13.73;0.39;70.03;0.70;0.02;354156.76;3541.57;100.00;17434.95;174.35;4.92;9473.91;94.74;2.68;167391.97;1673.92;47.26;150220.94;1502.21;42.42;6592.01;65.92;1.86;1611.18;16.11;0.45;1379.81;13.80;0.39;51.99;0.52;0.01;
Котел;85732.09;857.32;100.00;1688.91;16.89;1.97;1425.89;14.26;1.66;26575.86;265.76;31.00;54191.19;541.91;63.21;356.52;3.57;0.42;728.42;7.28;0.85;105.51;1.06;0.12;659.80;6.60;0.77;85732.09;857.32;100.00;1696.80;16.97;1.98;1427.18;14.27;1.66;26570.45;265.70;30.99;54187.96;541.88;63.21;356.52;3.57;0.42;728.42;7.28;0.85;105.51;1.06;0.12;659.25;6.59;0.77;85732.09;857.32;100.00;2643.66;26.44;3.08;1528.29;15.28;1.78;26144.08;261.44;30.50;54215.08;542.15;63.24;361.47;3.61;0.42;728.42;7.28;0.85;105.52;1.06;0.12;5.56;0.06;0.01;85732.70;857.33;100.00;2647.68;26.48;3.09;1527.68;15.28;1.78;25962.49;259.62;30.28;54394.36;543.94;63.45;361.46;3.61;0.42;728.42;7.28;0.85;105.07;1.05;0.12;5.53;0.06;0.01;
Нова Загора;87628.89;876.29;100.00;4773.50;47.73;5.45;2684.60;26.85;3.06;64966.45;649.66;74.14;11306.84;113.07;12.90;2912.45;29.12;3.32;111.02;1.11;0.13;837.01;8.37;0.96;37.03;0.37;0.04;87628.89;876.29;100.00;4714.27;47.14;5.38;2765.01;27.65;3.16;64943.77;649.44;74.11;11306.58;113.07;12.90;2914.21;29.14;3.33;111.02;1.11;0.13;837.01;8.37;0.96;37.03;0.37;0.04;87628.89;876.29;100.00;4723.47;47.23;5.39;2765.12;27.65;3.16;64927.66;649.28;74.09;11306.58;113.07;12.90;2920.04;29.20;3.33;111.02;1.11;0.13;837.01;8.37;0.96;38.01;0.38;0.04;87628.89;876.29;100.00;4738.08;47.38;5.41;2766.34;27.66;3.16;64921.33;649.21;74.09;11297.38;112.97;12.89;2920.04;29.20;3.33;111.02;1.11;0.13;837.01;8.37;0.96;37.70;0.38;0.04;
Сливен;136570.09;1365.70;100.00;8689.35;86.89;6.36;4260.59;42.61;3.12;64375.06;643.75;47.14;55967.07;559.67;40.98;2267.92;22.68;1.66;760.07;7.60;0.56;241.38;2.41;0.18;8.66;0.09;0.01;136569.96;1365.70;100.00;8840.83;88.41;6.47;4269.44;42.69;3.13;64210.75;642.11;47.02;55968.58;559.69;40.98;2270.81;22.71;1.66;760.07;7.60;0.56;240.82;2.41;0.18;8.66;0.09;0.01;136569.96;1365.70;100.00;8917.63;89.18;6.53;4275.45;42.75;3.13;64127.86;641.28;46.96;55951.37;559.51;40.97;2271.43;22.71;1.66;760.07;7.60;0.56;257.38;2.57;0.19;8.76;0.09;0.01;136569.96;1365.70;100.00;9062.73;90.63;6.64;4281.91;42.82;3.14;64016.95;640.17;46.87;55903.82;559.04;40.93;2271.07;22.71;1.66;760.07;7.60;0.56;264.65;2.65;0.19;8.76;0.09;0.01;
Твърдица;44225.22;442.25;100.00;968.19;9.68;2.19;896.82;8.97;2.03;12507.97;125.08;28.28;28635.13;286.35;64.75;1030.67;10.31;2.33;11.67;0.12;0.03;174.78;1.75;0.40;0.00;0.00;0.00;44225.22;442.25;100.00;968.73;9.69;2.19;896.85;8.97;2.03;12498.47;124.98;28.26;28635.27;286.35;64.75;1039.46;10.39;2.35;11.67;0.12;0.03;174.78;1.75;0.40;0.00;0.00;0.00;44225.22;442.25;100.00;976.21;9.76;2.21;896.84;8.97;2.03;12492.71;124.93;28.25;28632.71;286.33;64.74;1024.30;10.24;2.32;11.67;0.12;0.03;173.09;1.73;0.39;17.70;0.18;0.04;44225.22;442.25;100.00;986.45;9.86;2.23;897.98;8.98;2.03;12491.20;124.91;28.24;28625.38;286.25;64.73;1039.44;10.39;2.35;11.67;0.12;0.03;173.09;1.73;0.39;-;-;0.00;
Стара Загора;514799.23;5147.99;100.00;27011.53;270.12;5.25;15266.40;152.66;2.97;267230.06;2672.30;51.91;163138.12;1631.38;31.69;12183.10;121.83;2.37;12685.74;126.86;2.46;17258.09;172.58;3.35;26.18;0.26;0.01;514798.01;5147.98;100.00;27523.90;275.24;5.35;15392.18;153.92;2.99;266641.50;2666.42;51.80;163164.80;1631.65;31.69;12184.05;121.84;2.37;12685.71;126.86;2.46;17201.24;172.01;3.34;4.62;0.05;0.00;514798.01;5147.98;100.00;28554.40;285.54;5.55;15559.32;155.59;3.02;265774.88;2657.75;51.63;163006.28;1630.06;31.66;12188.88;121.89;2.37;13204.78;132.05;2.57;16504.85;165.05;3.21;4.63;0.05;0.00;514797.42;5147.97;100.00;28673.09;286.73;5.57;15586.00;155.86;3.03;265056.94;2650.57;51.49;163577.14;1635.77;31.78;12200.50;122.01;2.37;13215.44;132.15;2.57;16487.50;164.88;3.20;0.81;0.01;0.00;
Братя Даскалови;48217.77;482.18;100.00;2426.01;24.26;5.03;1441.79;14.42;2.99;30264.66;302.65;62.77;12966.10;129.66;26.89;903.24;9.03;1.87;131.95;1.32;0.27;83.95;0.84;0.17;0.05;0.00;0.00;48217.77;482.18;100.00;2428.56;24.29;5.04;1455.19;14.55;3.02;30248.75;302.49;62.73;12966.06;129.66;26.89;903.24;9.03;1.87;131.95;1.32;0.27;83.95;0.84;0.17;0.05;0.00;0.00;48217.77;482.18;100.00;2428.97;24.29;5.04;1455.19;14.55;3.02;30248.75;302.49;62.73;12966.06;129.66;26.89;903.24;9.03;1.87;131.54;1.32;0.27;83.95;0.84;0.17;0.05;0.00;0.00;48217.28;482.17;100.00;2429.04;24.29;5.04;1451.99;14.52;3.01;29764.10;297.64;61.73;13453.40;134.53;27.90;903.24;9.03;1.87;131.54;1.32;0.27;83.95;0.84;0.17;0.01;0.00;0.00;
Гурково;29211.25;292.11;100.00;392.31;3.92;1.34;581.94;5.82;1.99;6663.47;66.63;22.81;20257.40;202.57;69.35;1303.93;13.04;4.46;6.28;0.06;0.02;5.45;0.05;0.02;0.48;0.00;0.00;29211.25;292.11;100.00;397.22;3.97;1.36;577.04;5.77;1.98;6663.47;66.63;22.81;20257.38;202.57;69.35;1303.93;13.04;4.46;6.28;0.06;0.02;5.45;0.05;0.02;0.48;0.00;0.00;29211.25;292.11;100.00;397.79;3.98;1.36;577.07;5.77;1.98;6662.87;66.63;22.81;20257.38;202.57;69.35;1303.93;13.04;4.46;6.28;0.06;0.02;5.45;0.05;0.02;0.48;0.00;0.00;29211.25;292.11;100.00;398.60;3.99;1.36;577.05;5.77;1.98;6603.89;66.04;22.61;20315.58;203.16;69.55;1303.93;13.04;4.46;6.28;0.06;0.02;5.45;0.05;0.02;0.48;0.00;0.00;
Гълъбово;34777.10;347.77;100.00;2512.98;25.13;7.23;1042.87;10.43;3.00;20868.67;208.69;60.01;4886.72;48.87;14.05;984.29;9.84;2.83;19.98;0.20;0.06;4461.60;44.62;12.83;0.00;0.00;0.00;34777.10;347.77;100.00;2729.92;27.30;7.85;1044.20;10.44;3.00;20750.95;207.51;59.67;4841.69;48.42;13.92;984.52;9.85;2.83;19.98;0.20;0.06;4405.83;44.06;12.67;0.00;0.00;0.00;34777.10;347.77;100.00;3513.04;35.13;10.10;1041.41;10.41;2.99;20657.39;206.57;59.40;4841.69;48.42;13.92;984.52;9.85;2.83;19.98;0.20;0.06;3719.07;37.19;10.69;0.01;0.00;0.00;34777.10;347.77;100.00;3546.14;35.46;10.20;1048.68;10.49;3.02;20631.42;206.31;59.32;4837.86;48.38;13.91;984.33;9.84;2.83;19.98;0.20;0.06;3708.70;37.09;10.66;0.00;0.00;0.00;
Казанлък;63319.49;633.19;100.00;3855.53;38.56;6.09;1848.86;18.49;2.92;24433.99;244.34;38.59;30055.02;300.55;47.47;1616.16;16.16;2.55;1452.06;14.52;2.29;57.58;0.58;0.09;0.29;0.00;0.00;63319.49;633.19;100.00;3909.71;39.10;6.17;1855.95;18.56;2.93;24378.59;243.79;38.50;30052.89;300.53;47.46;1618.29;16.18;2.56;1451.95;14.52;2.29;51.83;0.52;0.08;0.28;0.00;0.00;63319.49;633.19;100.00;3925.83;39.26;6.20;1861.82;18.62;2.94;24356.58;243.57;38.47;30051.35;300.51;47.46;1618.29;16.18;2.56;1451.95;14.52;2.29;53.36;0.53;0.08;0.31;0.00;0.00;63319.49;633.19;100.00;3959.78;39.60;6.25;1881.64;18.82;2.97;24310.41;243.10;38.39;30040.86;300.41;47.44;1618.01;16.18;2.56;1462.69;14.63;2.31;46.09;0.46;0.07;0.01;0.00;0.00;
Мъглиж;38868.67;388.69;100.00;1312.62;13.13;3.38;1049.12;10.49;2.70;12388.76;123.89;31.87;22485.23;224.85;57.85;570.91;5.71;1.47;937.02;9.37;2.41;124.97;1.25;0.32;0.03;0.00;0.00;38868.67;388.69;100.00;1489.28;14.89;3.83;1049.24;10.49;2.70;12217.56;122.18;31.43;22479.65;224.80;57.83;570.91;5.71;1.47;937.02;9.37;2.41;124.97;1.25;0.32;0.03;0.00;0.00;38868.67;388.69;100.00;1368.21;13.68;3.52;1227.07;12.27;3.16;12155.32;121.55;31.27;22479.20;224.79;57.83;576.83;5.77;1.48;937.03;9.37;2.41;124.97;1.25;0.32;0.03;0.00;0.00;38868.67;388.69;100.00;1366.16;13.66;3.51;1225.02;12.25;3.15;12159.21;121.59;31.28;22479.44;224.79;57.83;576.83;5.77;1.48;937.03;9.37;2.41;124.97;1.25;0.32;-;-;0.00;
Николаево;9647.26;96.47;100.00;327.09;3.27;3.39;295.52;2.96;3.06;4073.68;40.74;42.23;4354.71;43.55;45.14;592.58;5.93;6.14;0.56;0.01;0.01;-;-;-;3.13;0.03;0.03;9647.26;96.47;100.00;328.48;3.28;3.40;295.50;2.96;3.06;4072.31;40.72;42.21;4354.71;43.55;45.14;592.58;5.93;6.14;0.56;0.01;0.01;-;-;0.00;3.13;0.03;0.03;9647.26;96.47;100.00;328.49;3.28;3.40;295.50;2.95;3.06;4072.31;40.72;42.21;4354.71;43.55;45.14;592.58;5.93;6.14;0.56;0.01;0.01;-;-;-;3.13;0.03;0.03;9647.25;96.47;100.00;329.54;3.30;3.42;295.50;2.95;3.06;4068.60;40.69;42.17;4357.35;43.57;45.17;595.66;5.96;6.17;0.56;0.01;0.01;-;-;0.00;0.04;0.00;0.00;
Опан;25733.65;257.34;100.00;1610.01;16.10;6.26;789.20;7.89;3.07;20349.43;203.49;79.08;2177.18;21.77;8.46;794.43;7.94;3.09;5.63;0.06;0.02;7.76;0.08;0.03;0.00;0.00;0.00;25733.65;257.34;100.00;1610.01;16.10;6.26;789.20;7.89;3.07;20349.43;203.49;79.08;2177.18;21.77;8.46;794.43;7.94;3.09;5.63;0.06;0.02;7.76;0.08;0.03;0.00;0.00;0.00;25733.65;257.34;100.00;1610.01;16.10;6.26;789.20;7.89;3.07;20351.53;203.52;79.09;2177.18;21.77;8.46;794.43;7.94;3.09;5.63;0.06;0.02;5.67;0.06;0.02;0.00;0.00;0.00;25733.65;257.34;100.00;1610.01;16.10;6.26;789.78;7.90;3.07;20350.96;203.51;79.08;2177.18;21.77;8.46;794.42;7.94;3.09;5.63;0.06;0.02;5.67;0.06;0.02;0.00;0.00;0.00;
Павел баня;52100.07;521.00;100.00;1418.78;14.19;2.72;829.16;8.29;1.59;15186.61;151.87;29.15;23674.14;236.74;45.44;896.63;8.97;1.72;10066.07;100.66;19.32;28.36;0.28;0.05;0.32;0.00;0.00;52100.07;521.00;100.00;1421.74;14.22;2.73;829.05;8.29;1.59;15183.72;151.84;29.14;23673.94;236.74;45.44;897.10;8.97;1.72;10066.15;100.66;19.32;28.14;0.28;0.05;0.23;0.00;0.00;52100.07;521.00;100.00;1423.12;14.23;2.73;813.98;8.14;1.56;14800.88;148.01;28.41;23552.28;235.52;45.21;895.81;8.96;1.72;10585.62;105.86;20.32;28.14;0.28;0.05;0.23;0.00;0.00;52099.98;521.00;100.00;1445.94;14.46;2.78;814.01;8.14;1.56;14761.34;147.61;28.33;23569.20;235.69;45.24;895.81;8.96;1.72;10585.54;105.86;20.32;28.14;0.28;0.05;0.00;0.00;0.00;
Раднево;54480.29;544.80;100.00;3108.20;31.08;5.71;1567.03;15.67;2.88;33995.37;339.95;62.40;1739.83;17.40;3.19;1931.01;19.31;3.54;3.27;0.03;0.01;12135.40;121.35;22.27;0.18;0.00;0.00;54480.29;544.80;100.00;3109.61;31.10;5.71;1567.38;15.67;2.88;33996.17;339.96;62.40;1739.72;17.40;3.19;1932.21;19.32;3.55;3.27;0.03;0.01;12131.75;121.32;22.27;0.18;0.00;0.00;54480.29;544.80;100.00;3148.53;31.49;5.78;1567.47;15.67;2.88;33956.63;339.57;62.33;1739.72;17.40;3.19;1932.25;19.32;3.55;3.27;0.03;0.01;12132.25;121.32;22.27;0.18;0.00;0.00;54480.29;544.80;100.00;3144.66;31.45;5.77;1571.98;15.72;2.89;33955.66;339.56;62.33;1739.71;17.40;3.19;1932.62;19.33;3.55;3.27;0.03;0.01;12132.22;121.32;22.27;0.18;0.00;0.00;
Стара Загора;109321.17;1093.21;100.00;7675.39;76.75;7.02;4001.54;40.02;3.66;62939.57;629.40;57.57;32553.15;325.53;29.78;1821.42;18.21;1.67;45.21;0.45;0.04;284.70;2.85;0.26;0.18;0.00;0.00;109319.96;1093.20;100.00;7704.81;77.05;7.05;4028.44;40.28;3.68;62883.03;628.83;57.52;32546.69;325.47;29.77;1818.37;18.18;1.66;45.21;0.45;0.04;293.22;2.93;0.27;0.18;0.00;0.00;109319.96;1093.20;100.00;7806.85;78.07;7.14;4030.11;40.30;3.69;62814.34;628.14;57.46;32511.81;325.12;29.74;1818.26;18.18;1.66;45.21;0.45;0.04;293.22;2.93;0.27;0.16;0.00;0.00;109319.96;1093.20;100.00;7834.65;78.35;7.17;4034.68;40.35;3.69;62750.51;627.51;57.40;32534.70;325.35;29.76;1826.87;18.27;1.67;45.21;0.45;0.04;293.22;2.93;0.27;0.11;0.00;0.00;
Чирпан;49122.51;491.23;100.00;2372.61;23.73;4.83;1819.38;18.19;3.70;36065.83;360.66;73.42;7988.64;79.89;16.26;768.50;7.69;1.56;17.72;0.18;0.04;68.31;0.68;0.14;21.51;0.22;0.04;49122.50;491.23;100.00;2394.55;23.95;4.87;1900.98;19.01;3.87;35897.52;358.98;73.08;8074.90;80.75;16.44;768.48;7.68;1.56;17.72;0.18;0.04;68.31;0.68;0.14;0.05;0.00;0.00;49122.50;491.23;100.00;2603.56;26.04;5.30;1900.51;19.01;3.87;35698.27;356.98;72.67;8074.90;80.75;16.44;768.73;7.69;1.56;17.72;0.18;0.04;58.77;0.59;0.12;0.05;0.00;0.00;49122.50;491.23;100.00;2608.55;26.09;5.31;1895.67;18.96;3.86;35700.85;357.01;72.68;8071.85;80.72;16.43;768.78;7.69;1.57;17.72;0.18;0.04;59.08;0.59;0.12;0.00;0.00;0.00;
Ямбол;335269.99;3352.70;100.00;15348.55;153.49;4.58;10753.09;107.53;3.21;250375.85;2503.76;74.68;51043.95;510.44;15.22;6289.57;62.90;1.88;855.50;8.55;0.26;585.65;5.86;0.17;17.84;0.18;0.01;335269.99;3352.70;100.00;15538.86;155.39;4.63;10643.26;106.43;3.17;250248.70;2502.49;74.64;51091.38;510.91;15.24;6289.57;62.90;1.88;852.24;8.52;0.25;588.15;5.88;0.18;17.84;0.18;0.01;335269.99;3352.70;100.00;15704.35;157.04;4.68;10653.67;106.54;3.18;250077.89;2500.78;74.59;51086.66;510.87;15.24;6290.38;62.90;1.88;851.32;8.51;0.25;587.89;5.88;0.18;17.84;0.18;0.01;335269.99;3352.70;100.00;15573.55;155.74;4.65;10838.33;108.38;3.23;250031.26;2500.31;74.58;51099.77;511.00;15.24;6311.56;63.12;1.88;852.90;8.53;0.25;553.86;5.54;0.17;8.77;0.09;0.00;
Болярово;66717.72;667.18;100.00;1446.35;14.46;2.17;1588.51;15.89;2.38;44417.47;444.17;66.58;18290.02;182.90;27.41;943.06;9.43;1.41;11.21;0.11;0.02;17.51;0.18;0.03;3.58;0.04;0.01;66717.72;667.18;100.00;1446.37;14.46;2.17;1588.99;15.89;2.38;44366.16;443.66;66.50;18340.83;183.41;27.49;943.06;9.43;1.41;11.21;0.11;0.02;17.51;0.18;0.03;3.58;0.04;0.01;66717.72;667.18;100.00;1446.32;14.46;2.17;1589.04;15.89;2.38;44365.72;443.66;66.50;18340.83;183.41;27.49;943.50;9.43;1.41;11.21;0.11;0.02;17.51;0.18;0.03;3.58;0.04;0.01;66717.72;667.18;100.00;1464.83;14.65;2.20;1589.19;15.89;2.38;44346.07;443.46;66.47;18340.83;183.41;27.49;943.50;9.43;1.41;11.21;0.11;0.02;18.51;0.19;0.03;3.58;0.04;0.01;
Елхово;70118.67;701.19;100.00;2546.29;25.46;3.63;2237.40;22.37;3.19;52150.67;521.51;74.37;11348.47;113.48;16.18;1202.45;12.02;1.71;562.03;5.62;0.80;67.90;0.68;0.10;3.46;0.03;0.00;70118.67;701.19;100.00;2591.88;25.92;3.70;2237.57;22.38;3.19;52104.88;521.05;74.31;11348.47;113.48;16.18;1202.45;12.02;1.71;560.25;5.60;0.80;69.72;0.70;0.10;3.46;0.03;0.00;70118.67;701.19;100.00;2671.07;26.71;3.81;2238.38;22.38;3.19;52024.88;520.25;74.20;11348.47;113.48;16.18;1202.45;12.02;1.71;560.25;5.60;0.80;69.72;0.70;0.10;3.46;0.03;0.00;70118.67;701.19;100.00;2672.94;26.73;3.81;2238.50;22.39;3.19;52021.83;520.22;74.19;11348.11;113.48;16.18;1202.93;12.03;1.72;561.19;5.61;0.80;69.72;0.70;0.10;3.46;0.03;0.00;
Стралджа;67571.43;675.71;100.00;2790.63;27.91;4.13;2098.05;20.98;3.10;52417.20;524.17;77.57;9320.98;93.21;13.79;814.89;8.15;1.21;7.69;0.08;0.01;112.93;1.13;0.17;9.07;0.09;0.01;67571.43;675.71;100.00;2791.47;27.91;4.13;2102.27;21.02;3.11;52414.82;524.15;77.57;9317.60;93.18;13.79;814.89;8.15;1.21;7.69;0.08;0.01;113.62;1.14;0.17;9.07;0.09;0.01;67571.43;675.71;100.00;2791.33;27.91;4.13;2107.88;21.08;3.12;52414.99;524.15;77.57;9311.96;93.12;13.78;814.89;8.15;1.21;7.69;0.08;0.01;113.62;1.14;0.17;9.07;0.09;0.01;67571.43;675.71;100.00;2732.55;27.33;4.04;2174.95;21.75;3.22;52413.98;524.14;77.57;9299.82;93.00;13.76;828.80;8.29;1.23;7.69;0.08;0.01;113.62;1.14;0.17;-;-;0.00;
Тунджа;121796.19;1217.96;100.00;6621.05;66.21;5.44;4133.81;41.34;3.39;96413.30;964.13;79.16;11337.75;113.38;9.31;2737.88;27.38;2.25;242.81;2.43;0.20;307.88;3.08;0.25;1.72;0.02;0.00;121796.19;1217.96;100.00;6768.04;67.68;5.56;4013.58;40.14;3.30;96388.02;963.88;79.14;11337.75;113.38;9.31;2737.88;27.38;2.25;241.33;2.41;0.20;307.88;3.08;0.25;1.72;0.02;0.00;121796.19;1217.96;100.00;6850.35;68.50;5.62;4015.91;40.16;3.30;96303.27;963.03;79.07;11338.67;113.39;9.31;2738.25;27.38;2.25;240.41;2.40;0.20;307.62;3.08;0.25;1.72;0.02;0.00;121796.19;1217.96;100.00;6757.15;67.57;5.55;4132.07;41.32;3.39;96282.20;962.82;79.05;11364.93;113.65;9.33;2745.12;27.45;2.25;240.41;2.40;0.20;272.58;2.73;0.22;1.73;0.02;0.00;
